thai,phonetic,register,definition,note
ไปแล้วนะ,bpai lɛ́ɛo ná ,,I’m off. / I’m going now.,
(…)ใช่ป่ะ  (…),châi-bpà ,INFORMAL,Right? / Isn’t that right? / …aren’t you? / …isn’t it? / …isn’t she?," ป่ะ (bpà) is a very casual, shortened form of หรือปล่าว (rʉ̌ʉ-bplàao).

This is also spelled as ปะ (bpa)."
ฉันตกบันได,chǎn dtòk ban-dai,,I fell down the stairs.,
(รอ)อยู่ตั้งนาน(แล้ว),(rɔɔ) yùu dtâng naan (lɛ́ɛo) (,,I)’ve been (waiting) for a long time.,
ผมเพิ่งย้ายมาจาก(อเมริกา),pǒm pə̂ng yáai maa-jàak (à-mee-rí-gaa) ,,I just moved here from (America).,
จำหน้าไม่ได้,jam nâa mâi-dâi,,I don’t recognize him. / I didn’t recognize you.,
คุณบ้าไปแล้วหรือ,kun bâa bpai lɛ́ɛo rʉ̌ʉ,,Have you lost your mind?! / Are you crazy!? / Have you gone mad?!,
เดี๋ยวคุณ(ก็)จะรู้เอง,dǐao kun (gɔ̂ɔ) jà rúu eeng ,,You’ll soon know. / Soon you’ll know. / You’ll find out soon.,
ผมไม่หนี,pǒm mâi nǐi,,I’m not running away! / I’m not gonna escape.,
ทำได้แค่นี้,tam dâi kɛ̂ɛ-níi,,That’s all (I) can do. / That’s all (I) could do.,
หาไม่เจอ,hǎa mâi jəə,,I can’t find it. / They couldn’t find her.,
ฉันจะบอกความจริงให้,chǎn jà bɔ̀ɔk kwaam-jing hâi,,I’ll tell you the truth. / I’ll tell you what really happened.,
ฉันยังจำได้ดี(... ),chǎn yang jam dâi dii (...) ,,I still remember it well. / I can still clearly remember…,
ผมให้สัญญาว่า,... pǒm hâi sǎn-yaa wâa...,,I promise to… / I promised that I…,
ทนไม่ได้ที่,... ton mâi-dâi tîi...,,I can’t stand… / I can’t handle… / I can’t bear…,
ดูดีๆ(สิ),duu dii-dii (sì) ,INFORMAL,Look carefully.,
ใกล้จะมืดแล้ว,glâi jà mʉ̂ʉt lɛ́ɛo,,It’s nearly dark. / It’s almost dark.,
ไม่ทำอะไรหรอก,mâi tam à-rai rɔ̀ɔk,,I’m not gonna do anything. OR I’m not gonna hurt you.,
อย่าเพิ่งกังวล,yàa pə̂ng gang-won,,Don’t worry. / Don’t you worry.,
ฉันไม่สนหรอก,chǎn mâi-sǒn rɔ̀ɔk ,INFORMAL/STRONG,I don’t care!,
