thai,phonetic,register,definition,note
รู้สึกดีใช่ไหม,rúu-sʉ̀k dii châi-mǎi,,"It feels good, doesn’t it?",
รู้สึกดีมาก,rúu-sʉ̀k dii mâak,,It feels great!,
รู้สึกแปลกๆ,rúu-sʉ̀k bplɛ̀ɛk-bplɛ̀ɛk,,It feels weird/strange.,
ไม่ไปเหรอ(คะ),mâi-bpai rə̌ə (ká) ,,Aren’t you going? / Aren’t you going to go?,
แค่นี้นะ,kɛ̂ɛ-níi ná,INFORMAL,Goodbye. (said on telephone),
ทางนี้ค่ะ,taang-níi kà,,This way. / This way please.,
ถ้าไม่ว่าอะไร,tâa mâi-wâa à-rai,,If you don’t mind.,
(ผู้ชายดีๆ)หายาก(มาก),(pûu-chaai dii-dii) hǎa-yâak (mâak) ,,It’s (really) hard to find (a good man).,
ต๊ายตาย,dtáai-dtaai,,Oh dear! / Oh my (goodness)! (used by females mainly),
(ฉันก็)แค่ถามเฉยๆ,(chǎn gɔ̂ɔ) kɛ̂ɛ tǎam chə̌əi-chə̌əi ,,I was just asking. / I just asked. / I’m just asking.,
เธอเป็นคนที่ใช่,təə bpen kon-tii-châi,,She’s the one. (the right woman for me),
ออกเสียงคล้ายกัน,ɔ̀ɔk-sǐang kláai-gan (,,They) sound similar. / (They) are pronounced almost the same.,
ลืมยาก,lʉʉm yâak,,It’s hard to forget.,
เก็บไว้กินได้นาน,gèp-wái gin dâi naan (,,It) keeps for a long time. / You can store (it) for a long time. (said of food),
ถูกต้อง(ครับ/ค่ะ),tùuk-dtɔ̂ng (kráp/kà) ,,That’s right. / Correct. / Right. / Exactly.,
ถูกแล้ว,tùuk lɛ́ɛo,,Right. / Yes. (that’s right),
ทำไมต้องเป็น(ฉัน),tam-mai dtɔ̂ng bpen (chǎn) ,,Why does it have to be (me)?!,
บอกความจริงมา,bɔ̀ɔk kwaam-jing maa,,Tell me the truth.,
ช่างโชคร้าย,châng-chôok-ráai,,How unfortunate! / How unlucky!,
มาทำอะไรที่นี่,maa tam à-rai tîi-nîi,,What are you doing here?,
