thai,phonetic,register,definition,note
คุณดูดี,kun duu-dii,,You look good.,
คุณดูดีมาก,kun duu-dii mâak,,You look great.,
ขับรถดีๆ (นะ),kàp-rót dii-dii ná,,Drive safely.,
คุณพระช่วย,kun-prá-chûai,,"Oh, my god! / Goodness! / Oh no! / Gosh!",
ผมไปส่ง,pǒm bpai sòng,,"I’ll see you out. / I’ll walk you out. / I’ll see you to the (door, car, etc. ).",
ฉันได้ยินมาว่า,... (chǎn dâi-yin maa wâa...),,I heard that… / I hear that…,
ไม่รู้มาก่อนว่า,... (mâi-rúu maa-gɔ̀ɔn wâa...),,I didn’t know (before) that… / I never knew…,
จะไปไหนกัน,jà bpai nǎi gan,,Where are you guys going? / Where are we going?,
ไม่เข้าใจ,mâi-kâo-jai,,I don’t understand.,
สวัสดีค่ะ / สวัสดีครับ,sà-wàt-dii kà / sà-wàt-dii kráp,,Good-bye (or Hello),
ตอนที่เป็นเด็ก... / ตอนเด็ก,...* (dtɔɔn-tîi bpen dèk... / dtɔɔn dèk-dèk... *),,When I was a kid/child/boy/girl…/*, this is very casual.
รอสักครู่(ครับ),rɔɔ-sàk-krûu (kráp),,(Please) wait a moment/minute. / Just a moment (please).,
กรุณารอสักครู่(ค่ะ),gà-rú-naa rɔɔ-sàk-krûu (kà),FORMAL,(Please) wait a moment/minute. / Just a moment (please).,
เดี๋ยวฉันกลับมา(ค่ะ),dǐao chǎn glàp-maa (kà) ,,I’ll be right back.,
เสียงอะไร(คะ),sǐang à-rai ká,,What’s that sound? / What was that?,
แตกไปแล้ว,dtɛ̀ɛk bpai lɛ́ɛo,,It’s broken. / It shattered.,
ใครๆก็รู้(...),krai-krai gɔ̂ɔ rúu…,,Everyone knows (that…),
ฉันชอบ... เหมือนกัน,chǎn chɔ̂ɔp... mʉ̌an-gan,,I like... too.,
ไม่มีปัญหาหรอก(ค่ะ),mâi mii bpàn-hǎa rɔ̀ɔk (kà),,It’s not a problem at all. / I don’t have a problem with it. / No problem at all.,
เราสนิทกันมาก,rao sà-nìt gan mâak,,We’re very close (good friends).,
