thai,phonetic,register,definition,note
สบายดีไหม,sà-baai dii mǎi,,How are you doing? / Are you well? / How are you?,
ใครโทรมา,krai too maa,,Who called?,
รู้จักเขาไหม,rúu-jàk kǎo mǎi,,Do you know him?,
เจอไหม,jəə mǎi,,Did you find it? / Did you find him?,
ไม่เจอ,mâi jəə,,"No, I didn’t.",
ยังไม่เจอ,yang mâi jəə,,I haven’t found (it) yet.,
ฉันรักคุณมาก,chǎn rák kun mâak,,I love you so much. / I love you very much.,
ไม่ได้สั่งค่ะ,mâi-dâi sàng kà,,I didn’t order (that).,
ไม่ชอบเขา,mâi chɔ̂ɔp kǎo,,I don’t like him!,
ไม่มีความสุข(เลย),mâi mii kwaam-sùk (ləəi) ,,I’m not happy (at all). / He wasn’t happy (at all).,
เสร็จรึยัง,sèt rʉ́-yang,,Are you done yet? / Are you finished yet?,
ปวดหลัง,bpùat lǎng,,My back hurts. / I have a backache.,
ไปกินกาแฟ(กัน)(นะ),bpai gin gaa-fɛɛ (gan) (ná) ,,Let’s go have some coffee. / Let’s go get a cup of coffee.,
ฉันสอบผ่าน,chǎn sɔ̀ɔp-pàan,,I passed the test. / I passed.,
ตื่นเช้ามาก(เลย),dtʉ̀ʉn cháao mâak (ləəi) ,,You woke up so early today! / You’re up very early!,
อยากจะทำอะไร,yàak jà tam à-rai,,What do (you) wanna do?,
เข้ามาสิ,kâo maa sì,INFORMAL,Come in. / Come on in.,
ผมไม่ถนัด,pǒm mâi tà-nàt,,I’m not good at (it). / I’m no good.,
คุณทำอะไรอยู่,kun tam à-rai yùu,,What are you doing?,
ไปเที่ยวกัน(เถอะ),bpai tîao gan (tə̀) ,,Let’s go out. / Let’s go hang out. / Wanna go out?,
