thai,phonetic,register,definition,note
ข้ามศพฉันไปก่อน,kâam sòp chǎn bpai gɔ̀ɔn ,,Over my dead body! / You’ll have to kill me first!,
เป็นอย่างที่ผมคิดไว้จริงๆ,bpen yàang-tîi pǒm kít wái jing-jing ,,It’s just like I thought (all along)!,
ไม่เห็นจะ(ดี)ตรงไหน,mâi-hěn-jà (dii) dtrong-nǎi ,,I don’t think it’s so (good). / I don’t see it as being (good). / It’s not good (to me).,
เราทุกคนต่าง(มีจุดแข็งและจุดอ่อน),rao-túk-kon-dtàang (mii jùt-kɛ̌ng lɛ́ jùt-ɔ̀ɔn),,We all (have our strong and weak points.) / All of us (have strengths and weaknesses).,
แน่จริงก็เข้ามา(สิ/ดิ),nɛ̂ɛ jing gɔ̂ɔ kâo-maa (sì/dì) ,ANGRY/IDIOMATIC,Bring it on! / Come on! / Come on and get me! / Make a move! (said when challenging someone and has the feeling of ‘If you dare…’),
ไอ้เด็กเวร,âi dèk ween,VULGAR,Little shit! / Little punk! (said when very angry to a bad boy),
คุณไม่รู้ว่ากำลังเล่นอยู่กับใคร,kun mâi-rúu wâa gam-lang lên yùu gàp krai,ANGRY,You don’t know who you’re dealing with!,
(ทำให้เธอยิ่งหลงรักเขา)มากขึ้นไปอีก,(tam-hâi təə yîng lǒng-rák kǎo) mâak-kʉ̂n-bpai-ìik,,(It made her love him) even more/all the more.,
อย่ามาขึ้นเสียงกับกู,yàa maa kʉ̂n-sǐang-gàp guu ,ANGRY,Don’t raise your voice with me! / Don’t yell at me!,
(…)เพื่อเป็นการตอบแทน(... ) (…),pʉ̂a bpen gaan-dtɔ̀ɔp-tɛɛn(...) (…) in return. / ,,"In return, (…) / (…) as a reward. / As a reward, (…) / (…) to pay you back. / To pay you back, (…)",
ไม่(แตก)ต่างอะไรกับ,... mâi(dtɛ̀ɛk)dtàang à-rai gàp...,,(It)’s no different than/from…,
นั่น(ก็)เท่ากับว่า,... nân (gɔ̂ɔ) tâo-gàp wâa...,,That means… / That is equal to… / That’s the same as…,
(... )จนถึงทุกวันนี้(... )  (...),jon-tʉ̌ng túk-wan-níi(...) (,LITERARY,Even) to this day… / Even today…,
เขาถูกกล่าวหาว่า(ฆ่าภรรยากับชู้),kǎo tùuk glàao-hǎa wâa (kâa pan-rá-yaa gàp chúu),,He was accused of (killing his wife and her lover).,
แปลกอยู่อย่างหนึ่ง,bplɛ̀ɛk yùu yàang-nʉ̀ng ,,There’s something that’s strange. / Something is (a bit) odd.,
(เป็น)เขตหวงห้าม,(bpen) kèet hǔang-hâam (,FORMAL,It’s a) restricted area.,
แต่เพียงผู้เดียว,dtɛ̀ɛ piang pûu-diao (,SEMI-LITERARY,The) one and only. / He and he alone.,
ไม่ยอมรับความจริงเลย,mâi yɔɔm-ráp kwaam-jing ləəi (,,He) won’t accept the truth. / (He) doesn’t face the facts. / (He)’s in denial.,
ไอ้(คน)เนรคุณ,âi (kon) nee-rá-kun ,STRONG/VULGAR,You ungrateful son-of-a-bitch!,
จะเป็นอะไรไป,jà bpen-à-rai bpai ,STRONG/ANGRY,What’s wrong with that?! / What’s the matter with that?!,
