thai,phonetic,register,definition,note
ผมไม่แปลกใจ(เลย),pǒm mâi bplɛ̀ɛk-jai (ləəi) ,,I’m not surprised (at all).,
พูดเป็นเล่น,pûut bpen lên,INFORMAL,Are you kidding me?! / Are you joking? / You can’t be serious. / Are you joshing me?,
ฉันพูดกับตัวเอง(ว่า... ),chǎn pûut gàp dtua-eeng (wâa…) ,,I said to myself “….”.,
เขาพยายามอย่างหนัก,(kǎo pá-yaa-yaam yàang-nàk) ,,He tried hard.,
ไม่ว่าคุณจะอยู่ที่ไหน,(mâi-wâa kun jà yùu-tîi-nǎi) ,,Wherever you are. / No matter where you are.,
ผมก็แค่รู้ว่า,... (pǒm gɔ̂ɔ kɛ̂ɛ rúu-wâa...) ,,I only know… / I just know…,
มีเรื่องอยากจะถาม(คุณ),mii rʉ̂ang yàak jà tǎam (kun) ,,I have something I want to ask you (about).,
อย่ามาหลอกฉัน,yàa maa lɔ̀ɔk chǎn,,Don’t try to trick me. / Don’t try to fool me.,
ไม่ได้เจอกันตั้งนาน,(mâi-dâi jəə-gan dtâng naan) ,,We haven’t met for a long time. / I haven’t see you in ages.,
(ช่วย)เปิดประตูหน่อย(ครับ),(chûai) bpìt bprà-dtuu nɔ̀i (kráp) ,,"Open the door, (please).",
ฉันดีใจมากที่(คุณกลับมา),chǎn dii-jai mâak tîi (kun glàp maa) ,,I’m so glad that (you’re back).,
ผมทำ(ไวน์)หก,pǒm tam (wai) hòk ,,I spilled (the wine).,
ชื่อคุณเพราะดีนะ,(chʉ̂ʉ kun prɔ́-dii ná) ,,Your name’s beautiful. / I like the sound of your name.,
เคยสังเกตไหม(ว่า... ),kəəi sǎng-gèet mǎi (wâa...) ,,Have you ever noticed (…)?,
อีกครึ่งชั่วโมง,(ìik krʉ̂ng chûa-moong) ,,In half an hour.,
ผมก็เลยตัดสินใจว่า,... (pǒm gɔ̂ɔ ləəi dtàt-sǐn-jai wâa...) ,,So I decided to…,
(ตั้งแต่)เช้าถึงเย็น,(dtâng-dtɛ̀ɛ) cháao tʉ̌ng yen (,,From) morning to night.,
มันน่าสนใจ(มาก),man nâa-sǒn-jai (mâak) ,,That’s/It’s (very) interesting.,
ตื่นเถอะ,dtʉ̀ʉn tə̀,INFORMAL,Wake up!,
ไปได้แล้ว,(bpai dâi lɛ́ɛo) ,INFORMAL,Time to go. / Let’s go. / Let’s get going.,
