thai,phonetic,register,definition,note
ใครโทรมา,krai too-maa,,Who’s calling (me)? / Who called?,
บอกไม่ถูก,bɔ̀ɔk-mâi-tùuk,,I can’t explain. / It’s difficult to say.,
เราเพิ่งรู้จักกัน,rao pə̂ng rúu-jàk-gan ,,We just met. / We’ve only just met.,
ไม่เอาอีกแล้ว,mâi-ao ìik-lɛ́ɛo,,I don’t want (that) any more! / Never again!,
เงยหน้าขึ้น,ngəəi-nâa kʉ̂n,,Look up. / Raise up your head. / Lift your head (up).,
แค่นี้เองเหรอ,kɛ̂ɛ níi eeng rə̌ə,,That’s it? / Is that all? / Is that all there is?,
อยากจะรู้เหมือนกัน,yàak já rúu mʉ̌an-gan (,,I) wanna know too. / (I) want to know that as well.,
เขาเป็นคนขี้อวด,kǎo bpen kon kîi-ùat,,He’s a braggart. / He likes to brag. / She likes to show off.,
ไม่เคยสำเร็จ,mâi-kəəi sǎm-rèt,,He was never successful. / She never pulled it off. / It’s never been done (successfully).,
ไม่ว่าคุณจะเป็นใคร,mâi-wâa kun jà bpen krai ,,No matter who you are…,
เราพบกันครั้งแรกที่,... rao póp gan kráng-rɛ̂ɛk tîi...,,We first met at. / We met each other for the first time at…,
บอกผมได้ไหม(ว่า... ),bɔ̀ɔk pǒm dâi-mǎi (wâa...) ,,Can you tell me (…)?,
รอนานไหมคะ,rɔɔ naan mǎi ká,,Have you been waiting long? / Did you wait a long time?,
อย่าลืมที่(ฉัน)บอกนะ,yàa lʉʉm tîi (chǎn) bɔ̀ɔk ná ,,Don’t forget what I told you.,
ไม่เคยรู้จักเขา(มาก่อน),mâi-kəəi rúu-jàk kǎo (maa-gɔ̀ɔn) (,,I)’ve never met him before.,
ผมรู้ความจริงแล้ว,pǒm rúu kwaam-jing lɛ́ɛo ,,I know the truth. / Now I know the truth.,
ไม่กินเผ็ด,mâi gin pèt,,(I) don’t eat spicy food. / I can’t eat spicy food.,
ชอบกินอาหารรสจัด,chɔ̂ɔp gin aa-hǎan rót-jàt (,,I) like spicy food. / (I) like heavily seasoned food.,
มันจืดไปหน่อย,man jʉ̀ʉt bpai nɔ̀i,,It’s a bit bland. / It’s lacking flavor.,
รักเสมอมา,rák sà-mə̌ə maa,,I’ve always loved you.,
