thai,phonetic,register,definition,note
(ขอโทษ)ฉันซุ่มซ่ามเอง,(kɔ̌ɔ-tôot) chǎn sûm-sâam eeng (,,"I’m sorry.) I was careless. (broke something, etc. due to clumsiness)",
ซุ่มซ่ามจริงๆ,sûm-sâam jing-jing,,You’re so clumsy!,
ผมรับปาก(ไป)แล้ว,pǒm ráp-bpàak (bpai) lɛ́ɛo ,,I promised already. / I promised him already. / I already promised.,
ไม่รักษาคำพูด,mâi rák-sǎa kam-pûut,,(He) didn’t keep his word. / (He) broke his promise.,
แทบไม่มีเวลากินข้าว,tɛ̂ɛp mâi-mii wee-laa gin-kâao (,,I) barely had time to eat. (I was so busy),
อย่าให้พลาด,yàa hâi plâat,,Don’t screw it up! / Don’t make a mistake! OR Don’t miss it!,
ลองคิดดูให้ดี/ลองคิดดูดีๆ,lɔɔng kít duu hâi-dii / lɔɔng kít-duu dii-dii ,,Think it over (carefully).,
ผมไม่เกี่ยวข้องกับเรื่องนี้,pǒm mâi gìao-kɔ̂ng-gàp rʉ̂ang-níi ,,I had nothing to do with it! / I’m not involved!,
มีหลักฐานอะไร,mii làk-tǎan à-rai,,What evidence do you have? / Do you have any proof?,
เราต้องแจ้งความ,rao dtɔ̂ng jɛ̂ɛng-kwaam ,,We have to call/inform the police.,
…ตั้งแต่เกิดมา,... ...dtâng-dtɛ̀ɛ gə̀ət maa...,,…since I was born… / …in my entire life… / …since my birth… / …for the first time in my life…,
กลัวอย่างเดียว(ว่า... ),glua yàang-diao (wâa..) (,,I’m) only afraid of one thing (…),
ฉันบอกได้เลย(นะ),... chǎn bɔ̀ɔk dâi ləəi (ná)...,,I can tell you… / I have to tell you…,
ถ้าเป็นอย่างนั้น,... tâa bpen-yàang-nán...,,If that’s how it is… / If that’s the case…,
ต้องเดินไปข้างหน้า,dtɔ̂ng dəən bpai kâang-nâa ,,You have to keep moving on. / You have to keep going. / You have to keep moving ahead.,
เขาจะไม่มีวันให้อภัยผม,kǎo jà mâi-mii-wan hâi-à-pai pǒm ,,She will never forgive me.,
ไม่ได้มามือเปล่า,mâi-dâi maa mʉʉ-bplàao (,SEMI-LITERARY,He) didn’t come empty-handed.,
อีควาย,ii kwaai,VULGAR,You Buffalo! / You idiot!,
โหดเหี้ยมมาก,hòot-hîam mâak,,That’s really ruthless! / It’s really cruel!,
ทำไม่ได้จริงๆ,tam mâi-dâi jing-jing,,I just can’t do it! / I really can’t!,
