thai,phonetic,register,definition,note
รีบไปดีกว่า,rîip bpai dii-gwàa,,We better get going. / We’d better go. / We’d better hurry.,
ขอโทษที่รบกวน,kɔ̌ɔ-tôot tîi róp-guan,,(I)’m sorry for bothering/disturbing you.,
ช่วยได้เยอะเลย,chûai dâi yə́ ləəi,,(You)’ve been quite helpful. / (You) really helped me a lot. / That was really helpful.,
ฉันถือเอง(ได้),chǎn tʉ̌ʉ eeng (dâi) ,,I’ll carry it (myself).,
วันไหนดี(คะ),wan nǎi dii (ká) ,,What day is good (for you)?,
ใกล้สุกแล้ว,glâi sùk lɛ́ɛo,,It’s almost done. (cooked) / They’re nearly ripe.,
ใกล้เสร็จแล้ว,glâi sèt lɛ́ɛo,,(I)’m almost finished. / (I)’m nearly done.,
ได้ยินที่ฉันพูดไหม,dâi-yin tîi chǎn pûut mǎi ,,Did you hear what I said?,
เมื่อคืนกลับดึก,mʉ̂a-kʉʉn glàp dʉ̀k,,(I) came home late last night. / (I) got home late last night.,
ทำอย่างกับ(ว่า)(ฉันไม่ใช่คน),tam-yàang-gàp (wâa) (chǎn mâi-châi kon),,You act like (I’m not a person)!," อย่างกับ/ยังกับ/ยังกะ (yàang-gàp/yang-gàp/yang-gà) all mean ‘like’ or ‘as if’.

They are listed in level of formality, with ยังกะ (yang-gà) being the most casual."
กลับแล้วหรือยัง,glàp lɛ́ɛo rʉ̌ʉ-yang,,Is (he) back yet? / Did (he) come back yet? / Is (he) home yet?,
ได้ยินมาจากไหน,dâi-yin maa-jàak nǎi,,Where did you hear that (from)?,
ก็เรื่อยๆ,gɔ̂ɔ-rʉ̂ai-rʉ̂ai,,So-so. / I’m okay. / Not too shabby.,
รับไว้ไม่ได้,ráp wái mâi-dâi,,"I can’t accept it. / I can’t take this. / I can’t. (accept a gift, or something given to you, etc.)",
(ยัง)มีอีกเยอะ,(yang) mii ìik yə́,,There’s (still) a lot more. / There are (still) a lot more. / There are many more.,
ปลูกกันเยอะ(มาก),bplùuk gan yə́ (mâak) ,,They grow a lot of them.,
รอ(ฉัน)อยู่ตรงนี้,rɔɔ (chǎn) yùu-dtrong-níi ,,Wait for me here. / Wait here.,
ไปเอามา,bpai-ao-maa,INFORMAL,Go get it. / Go get them.,
เป็นคนขี้แพ้,bpen kon kîi-pɛ́ɛ,,(He)’s a loser. / (He) gives up easily.,
ไม่เปลี่ยนเลย,mâi bplìan ləəi,,You haven’t changed at all. / It hasn’t changed a bit.,
