thai,phonetic,register,definition,note
ความจริงก็คือ,... (kwaam-jing gɔ̂ɔ kʉʉ…),,The truth is…,
ฉันรู้แล้ว(ค่ะ),chǎn rúu lɛ́ɛo (kà),,I know (already).,
(มัน)สุดๆไปเลย,(man) sùt-sùt bpai ləəi ,,This is totally awesome! / Splendid!,
ฉันเกือบตาย,chǎn gʉ̀ap dtaai,,I almost died.,
ไม่ได้สังเกตว่า,... (mâi-dâi sǎng-gèet wâa…),,I didn’t notice…,
ยังไม่ได้บอกเลยว่า,... (yang mâi-dâi bɔ̀ɔk ləəi wâa...),,You haven’t told me yet… / You still haven’t told me… //I haven’t told you yet… / I still haven’t told you…,
ไม่ค่อยไว้ใจ(เขา),mâi kɔ̂i wái-jai (kǎo) ,,I don’t (really) trust (him). / I don’t trust (him) so much.,
ไม่มีอะไรน่าสนใจหรอก,mâi mii à-rai nâa-sǒn-jai rɔ̀ɔk,,It’s nothing special. / There’s nothing of interest (there). / There’s nothing to see.,
ไม่เอา(น่า/นะ),mâi ao (nâa/ná),,Don’t. / I don’t want it. / Come on!,
เดี๋ยวใครเห็นเข้า,dǐao krai hěn kâo,,Careful/watch out— someone will see us!,
ผมถึงได้บอก(ไง)ว่า,... (chǎn tʉ̌ng dâi bɔ̀ɔk (ngai) wâa...),,That’s why I said/told you…,
ไม่รู้จะทำยังไงแล้ว,mâi rúu jà tam yang-ngai lɛ́ɛo,,I don’t know what (else) to do! / I don’t even know what to do.,
เขาเคยเล่าว่า,... (kǎo kəəi lâo wâa),,He once told me… / He told me before that…,
ถ้าจำไม่ผิด,... (tâa jam mâi pìt...),,If I’m not mistaken… / If I recall correctly… / If my memory serves me well…,
(ไป)นอนก่อน(นะ),(bpai) nɔɔn gɔ̀ɔn (ná) ,,I’m going to bed.,
เตือนแล้วนะ(ครับ)ว่า,... dtʉan lɛ́ɛo ná (kráp) wâa...,,I warned you (that)…,
ปกติฉันตื่น(เจ็ด)โมงเช้า,bpòk-gà-dtì chǎn dtʉ̀ʉn (jèt) moong cháao,,I usually get up at (7:00).,
กินไม่ลง/ทานไม่ลง,gin mâi long/ taan mâi long,,I (just) can’t eat this.,
อ่านไม่รู้เรื่อง,àan mâi-rúu-rʉ̂ang,,I can’t understand this at all. / I can’t read it.,
ฉันไม่รู้เรื่อง,chǎn mâi-rúu-rʉ̂ang,,I don’t know anything about it!,
