thai,phonetic,register,definition,note
ต้องลุกขึ้นสู้,dtɔ̂ng lúk-kʉ̂n sûu (,,You) have to fight! / (You) have to stand up and fight! / (You) have to take a stand!,
มันคนละเรื่อง,man kon-lá-rʉ̂ang,,That’s a different story. / That’s another story. / It’s a different matter.,
เรื่อง(มัน)เกิดขึ้นแล้ว,rʉ̂ang (man) gə̀ət-kʉ̂n lɛ́ɛo ,,It happened already. / It already happened.,
เขาเล่าให้ฟังทุกอย่าง(แล้ว),kǎo lâo-hâi-fang túk-yàang (lɛ́ɛo) ,,He told me everything.,
ฉันเผลอหลับไป,chǎn plə̌ə-làp bpai,,I dozed off. / I nodded off. / I fell asleep.,
ต้องสมัครสมาชิกก่อน,dtɔ̂ng sà-màk sà-maa-chík gɔ̀ɔn ,,You have to be a member (first). / You have to join first.,
เดี๋ยวตบปาก,dtǐao dtòp bpàak ,ANGRY,I’m gonna smack you!,
มันจะดีหรือไม่,man jà dii rʉ̌ʉ mâi,,Is that a good idea? / Would that be a good? (questioning or cannot make up one’s mind),
ปากเสีย,bpàak-sǐa ,IRRITATED/ANGRY,You have a foul mouth! / You’re offensive! / You’re abusive!,
คุณทราบหรือเปล่าว่า,...  kun sâap rʉ̌ʉ bplàao wâa...,FORMAL,Did you know that… ?,
(…)จะไม่ดีกว่าหรือ(... ) (…),jà mâi dii-gwàa rʉ̌ʉ (...) ,,Wouldn’t it be better (…?) / Isn’t it better (…?),
ถ้าเกิดอะไรขึ้น,... tâa gə̀ət-à-rai-kʉ̂n ,,If anything happens… / If something happens…,
เขากำลังถูกสอบสวน(... ),kǎo gam-lang tùuk sɔ̀ɔp-sǔan(...) ,,He’s being investigated (…). / He’s being questioned.,
เพียงแต่ว่า,...  piang-dtɛ̀ɛ-wâa...,SEMI-LITERARY,It’s just that…,
(…)ไม่ใช่วิธีแก้ปัญหา (...),mâi-châi wí-tii gɛ̂ɛ bpan-hǎa ,,It’s not a solution. / (…) isn’t the way to fix the problem.,
เป็นแผลเต็มตัว,bpen-plɛ̌ɛ dtem-dtua,,He’s got scratches all over his body. / She’s bruised all over. / It’s got scabs all over.,
ฉันไม่อยาก(จะ)ได้อะไร,chǎn mâi yàak (jà) dâi à-rai ,,"I don’t want/need anything. (receive a birthday gift, etc.)",
เมื่อกี้(คุณ)ว่าอะไร(นะ),mʉ̂a-gîi (kun) wâa à-rai ná ,,What did (you) just say?,
ผมก็อยากจะรู้เหมือนกัน,pǒm gɔ̂ɔ yàak jà rúu mʉ̌an-gan ,,I wanna know too.,
เราไม่คู่ควรกับเขา,rao mâi kûu-kuan gàp kǎo ,,I don’t deserve him/her.,
