thai,phonetic,register,definition,note
ฉันรู้เรื่องแล้ว,chǎn rúu-rʉ̂ang lɛ́ɛo ,,I know about it. / I know about… / I know.,
ผมเสียใจกับเรื่องที่เกิดขึ้น,pǒm sǐa-jai gàp rʉ̂ang tîi gə̀ət-kʉ̂n ,,I’m sorry for what (has) happened.,
ฉันโกหกตัวเองไม่ได้,chǎn goo-hòk dtua-eeng mâi-dâi ,,I can’t lie to myself.,
ผมเบื่อที่จะต้อง(รอ),pǒm bʉ̀a tîi jà dtɔ̂ng (rɔɔ) ,,I’m tired of (waiting). / I’m tired of having to (wait).,
พูดอะไรอย่างนั้น,pûut à-rai yàang-nán,,Why do you say that?! / What are you talking about?!,
เราไม่ได้แข่งกับใคร(เลย),rao mâi-dâi kɛ̀ng gàp krai (ləəi) ,,We’re not competing with anyone.,
ช่วยลดเสียงหน่อยนะคะ,chûai lòt sǐang nɔ̀i ná-ká ,POLITE,Please lower your voice. / Please talk more quietly. / Please keep it down.,
ผมว่าพาไปโรงพยาบาลดีกว่า,pǒm wâa paa bpai roong-pá-yaa-baan dii-gwàai,,I think it’s better if we take (him) to the hospital. / I think we should take (him) to the hospital.,
กำลังคิดถึงพอดีเลย,gam-lang kít-tʉ̌ng pɔɔ-dii ləəi (,,I) was just thinking about/of you.,
อดคิดไม่ได้(ว่า... ),òt kít-tʉ̌ng mâi-dâi (wâa...) (,,I) can’t help but think (…) / (I) can’t stop thinking (…),
ผมก็คิดแค่ว่า,... pǒm gɔ̂ɔ kít kɛ̂ɛ wâa...,,I just thought… / I only thought that…,
อย่าทำตัวเป็นเด็ก / เลิกทำตัวเป็นเด็ก,yàa tam-dtua bpen dèk /,,lə̂ək tam-dtua bpen dèk/Don’t act like a child! / Don’t be so childish!,
ตกลงจะเอายังไง,dtòk-long jà ao yang-ngai ,INFORMAL,"So, what’ll it be? / So, what do you want (to do)? / So, who do you want?",
ทำกับข้าวไม่เก่ง,tam-gàp-kâao mâi-gèng ,,I’m not a good cook. / I’m not good at cooking.,
(พ่อ)ต้องภูมิใจในตัวผม,(pɔ̂ɔ) dtɔ̂ng puum-jai-nai-dtua pǒm (,,My dad) would be proud of me!,
รอ(ไป)อีกสักพัก(หนึ่ง),rɔɔ (bpai) ìik sàk-pák (nʉ̀ng) ,INFORMAL,Wait a bit longer. / Wait a while longer.,
เป็นเพื่อนที่ดี,bpen pʉ̂an tîi dii,,You’re a good friend. / He’s a good friend.,
สักพักแล้ว,sàk-pák lɛ́ɛo,,For a while. / It’s been awhile. / For a while now.,
มันจะมากเกินไป,man jà mâak gəən-bpai ,STRONG/ANGRY,You’re out of line! / You’ve said too much!,
ยกโทษให้ผมด้วย(นะครับ),yók-tôot-hâi pǒm dûai (ná-kráp) ,,"Please forgive me! / Forgive me, please.",
