thai,phonetic,register,definition,note
เจ๋งสุดๆ,jěng sùt-sùt,,Awesome! / Cool!,
หนาวจังเลย,nǎao jang ləəi,,It’s freezing! / It’s so cold! / It was freezing!,
ผมรู้สึกโล่งใจ(มาก),pǒm rúu-sʉ̀k lôong-jai (mâak) ,,I feel (so) relieved.,
บอกตอนนี้ไม่ได้เหรอ,bɔ̀ɔk dtɔɔn-níi mâi-dâi rə̌əi ,,Can’t you tell me now?,
เขาเปลี่ยนไปเยอะเลย / เขาเปลี่ยนไปมากเลย,kǎo bplìan bpai yə́ ləəi / kǎo bplìan bpai mâak ləəi,,He’s changed a lot. / He’s really changed.,
(กิน)เร็วเกินไป,(gin) reo gəən-bpai (,,Eat) too fast. / (Eat) too quickly.,
ผมไม่ใช่คนฉลาด,pǒm mâi-châi kon chà-làat (,,I)’m not smart. / (I)’m not a smart person.,
ฉันเพิ่งรู้ว่า,... chǎn pə̂ng rúu-wâa...,,I just found out… / I just realized…,
ผมมีปัญหาเรื่องเงิน,pǒm mii bpan-hǎa rʉ̂ang ngən ,,I’m having money troubles. / I have a money problem.,
ต้นเดือน(กันยา),dtôn dʉan (gan-yaa) ,,At the beginning of (September) / In early (September),
ฉันได้รับโทรศัพท์จาก(ร.พ.สัตว์),chǎn dâi-ráp too-rá-sàp jàak (roong-pá-yaa-baan-sàt),,I got a call from (the animal hospital)., ร.พ. is an abbreviation of โรงพยาบาล (roong-pá-yaa-baan).
ฉันอ่านเจอใน,(,,Facebook) chǎn àan-jəə nai (Facebook) I read it in/on (Facebook).,
ทำแบบนี่ทำไม,tam bɛ̀ɛp-níi tam-mai,,Why are you doing this? / Why did you do that?,
บอกให้หยุด,bɔ̀ɔk hâi yùt,,I said stop! / I told you to stop (it)!,
เขาได้รับบาดเจ็บ,kǎo dâi-ráp bàat-jèp ,,He was injured/wounded.,
(มัน)เป็นเรื่องจริงหรือเปล่า,(man) bpen rʉ̂ang-jing rʉ̌ʉ-bplàao ,,Is it true? / Is it a true story?,
ไม่รู้เหตุผล,mâi-rúu hèet-pǒn,,(I) don’t know the reason. / (I) don’t know why.,
อย่าทิ้งฉันไว้คนเดียว,yàa tíng chǎn wái kon-diao ,,Don’t leave me all alone!,
วิวสวยดีนะ / วิวสวยจังเลย,wiu sǔai dii ná / wiu sǔai jang ləəi ,,What a nice view! / Nice view!,
รู้สึกเป็นไง(บ้าง),rúu-sʉ̀k bpen-ngai (bâang) ,,How do you feel? / How are you feeling? / How does it feel?,
