thai,phonetic,register,definition,note
ผมไม่เกี่ยวอะไรด้วย,pǒm mâi-gìao à-rai dûai ,,I’m not involved. / It has nothing to do with me. / I had nothing to do with it.,
ไม่คิดถึงคนอื่น,mâi kít-tʉ̌ng kon-ʉ̀ʉn (,,"You) don’t think about others. / (You) only think about yourself, not others.",
อย่างนั้นใช่ไหม(ครับ),yàang-nán châi-mǎi (kráp) ,,Is that right? / Is that what you mean?,
เก็บ(เอา)ไว้เถอะ,gèp (ao) wái tə̀,,You keep it. / Keep it (it’s for you).,
ใครๆก็อิจฉา,krai-krai gɔ̂ɔ ìt-chǎa,,You’ll be the envy of everyone! / Everyone will envy you. / Everyone envies her.,
ขอติดรถไปด้วย,kɔ̌ɔ dtìt-rót bpai dûai ,IDIOMATIC,Can I catch a ride (with you)? / Can I get a lift?,
ทำไมหน้าซีด,tam-mai nâa-sîit,,Why are so pale? / Why is your face so pale?,
รอเวลาที่เหมาะสม,rɔɔ wee-laa tîi mɔ̀-sǒm ,,Wait for the right/appropriate time.,
มีอาการสาหัส,mii aa-gaan sǎa-hàt,,(She)’s in critical condition. / (Her) condition is serious.,
มีใครบางคนบอก(ผม)ว่า,... mii krai baang kon bɔ̀ɔk (pǒm) wâa...,,Someone told me…,
คุณควรจะภูมิใจ(ที่... ),kun kuan-jà puum-jai (tîi...) ,,You should be proud (that…),
ฉันแค่สงสัยว่าทำไม,... chǎn kɛ̂ɛ sǒng-sǎi wâa tam-mai...,,I was just wondering why… / I just wonder why…,
ผมเก็บ(เอา)ไว้นานแล้ว,pǒm gèp (ao) wái naan lɛ́ɛo ,,I’ve been saving/keeping it for a long time.,
ส่งข่าวบ้างนะ,sòng kàao bâang ná,,Let me know how you’re doing. (send news),
เลิกเถียงกันได้แล้ว,lə̂ək tǐang gan dâi lɛ́ɛo ,,Stop arguing! / Stop fighting!,
กลับเป็นปกติ,glàp bpen-bpòk-gà-dtì,,Back to normal., ปกติ (bpàk-gà-dtì) is an alternative pronunciation for this word.
จริงหรือไม่,jing rʉ̌ʉ mâi ,SEMI-LITERARY,Is that true? / Is it true? / True or not?,
มันเป็นหน้าที่ของคุณ,man bpen nâa-tîi kɔ̌ɔng kun ,,It’s your duty/responsibility.,
อยากกินอะไรก็สั่ง(เลย),yàak gin à-rai gɔ̂ɔ sàng (ləəi) ,,Order whatever you like.,
ดูแลตัวเองได้,duu-lɛɛ dtua-eeng dâi,,I can take care of myself. / I’m capable of taking care of myself.,
