thai,phonetic,register,definition,note
ไม่ต้องอาย,mâi-dtɔ̂ng aai,,Don’t be shy. / You don’t need to be shy.,
แปลกจริงๆ,bplɛ̀ɛk jing-jing,,It’s so strange. / That’s really weird.,
ฉันกลัว,chǎn glua,,I’m scared/afraid.,
ฉันไม่ได้กลัว,chǎn mâi-dâi glua,,I’m not scared/afraid.,
เขาเป็นใคร,kǎo bpen krai,,Who is she? / Who is he? / Who are they?, พวกเขา (pûak-kǎo) is the ‘proper’ way to say ‘they’ but sometimes it’s shortened to just เขา (kǎo).
มองผมสิ,mɔɔng pǒm sì,,Look at me.,
มีคนให้มา,mii kon hâi maa,,Someone gave it to me. / Somebody gave me this.,
เสร็จแล้ว,sèt lɛ́ɛo,,All finished. / (We)’re all finished. / (We)’re done.,
มันน่าเบื่อ,man nâa-bʉ̀a,,It’s boring.,
ลดหน่อยได้ไหมคะ,lót nɔ̀i dâi mǎi ká,,Can you give me a discount? / Can you lower the price?,
ฉันไม่ได้ทำนะ,chǎn mâi-dâi tam ná,,I didn’t do it!,
ไม่แน่ใจ,mâi-nɛ̂ɛ-jai,,(I)’m not sure.,
(เขา)จมน้ำตาย,(kǎo) jom-náam-dtaai (,,He) drowned.,
คุณสวยมากเลย,kun sǔai mâak ləəi,,You’re so beautiful!,
คอแห้ง,kɔɔ hɛ̂ng,,My throat’s dry. / I’m thirsty.,
ขอฉันดูหน่อย,kɔ̌ɔ chǎn duu nɔ̀i,,Let me see (it). / Let me have a look.,
เราจะรวย,rao jà ruai,,We’ll be rich! / We’ll make loads of money!,
คุณทำได้,kun tam dâi ,,You can do it.,
ผมเลี้ยงเอง,pǒm líang eeng,,It’s my treat. / My treat.,
ไว้เจอกันนะ,wái jəə-gan ná,,See you later.,
