thai,phonetic,register,definition,note
คุณเคย... (บ้าง)ไหม,kun kəəi... (bâang) mǎi,,Have you ever… ?,
มีคนเคยบอกว่า,... (mii kon kəəi bɔ̀ɔk wâa...),,Someone once told me…,
เคยทำงานเป็น(แคชเชียร์),kəəi tam-ngaan bpen (kɛ́t-chia) ,,I used to be a (cashier). / I used to work as a (cashier).,
ในชีวิตประจำวัน,... (nai chii-wít bprà-jam-wan…),,In everyday life… / In daily life…,
…ในนาทีสุดท้าย,nai naa-tii sùt-táai,,…at the last minute/moment.,
(มัน)ไม่ซับซ้อน,(man) mâi sáp-sɔ́ɔn,,It’s simple. / It’s not complicated. / It’s straightforward.,
เป็นเรื่องธรรมดา,bpen rʉ̂ang tam-má-daa,,It’s common. / It’s normal. / It’s natural.,
ไม่ธรรมดา,mâi tam-má-daa,,(It’s) uncommon/unusual/peculiar/strange.,
ไม่ได้มีแค่(ผม),mâi-dâi mii kɛ̂ɛ (pǒm),,It’s not only (me).,
ไม่มีอะไรมาก,mâi mii à-rai mâak,,Nothing much. / It’s nothing (much).,
ดีใจด้วย,dii-jai dûai,INFORMAL,Congrats!,
ลองอีกครั้ง(สิ),lɔɔng ìik-kráng (sì),,Try (it) again.,
ฉันภูมิใจในตัว(เขา)มาก,chǎn puum-jai nai dtua (kǎo) mâak,,I’m so proud of (him)!,
ฉันตื่นเต้นแทน(คุณ)(จริงๆ),chǎn dtʉ̀ʉn-dtên tɛɛn (kun) (jing-jing),,I’m (so) excited for you!, แทน (tɛɛn) means ‘in place of’ or ‘instead of’.
ได้เวลาเสียที / ได้เวลา... เสียที,dâi wee-laa sǐa-tii / dâi wee-laa... sǐa-tii,,About time! / It’s about time (you)… !, เสียที (sǐa-tii) can be replaced with ซะที (sá-tii) to make it more casual.
ไม่ต้องพูดถึง (...),mâi-dtɔ̂ng pûut-tʉ̌ng (…) ,,Don’t mention it. / No need to talk about that. / No need to talk about…,
เขาเสียชีวิตด้วย(โรคมะเร็ง),kǎo sǐa-chii-wít dûai (rôok má-reng),FORMAL/LITERARY,He died of (cancer). / He passed away from (cancer).,
มันดึงดูดความสนใจ,man dʉng-dùut kwaam-sǒn-jai,,It grabs your attention/interest.," ดึงดูด (dʉng-dùut) means attract, draw in, or allure."
เต็มไปด้วย,... (dtem-bpai-dûai...),,filled with… / full of… / loaded with…,
อย่ายอมแพ้,yàa yɔɔm-pɛ́ɛ,,Don’t give up.,
