thai,phonetic,register,definition,note
(ตอนนี้คุณ)คบกับใครอยู่หรือเปล่า(คะ),dtɔɔn-níi kun) kóp-gàp krai yùu rʉ̌ʉ-bplàao (ká,,Are you dating anyone? / Are you seeing anyone (now)?,
คุณพอจะมี... คะ/ครับ,kun pɔɔ jà mii... ká/kráp ,POLITE,Do you (happen to) have… ?,
คุณดูผอมลง,kun duu pɔ̌ɔm long,,You look like you’ve lost weight. / You look thinner.,
แต่งงานกันนะ,dtɛ̀ng-ngaan gan ná,,Let’s get married.,
เรารู้จักกันมานาน,rao rúu-jàk gan maa naan ,,We’ve know each other for a long time.,
ผมพูดไม่ได้,pǒm pûut mâi-dâi,,I can’t talk about (it). / I can’t tell (you).,
ตั้งใจทำงาน(นะ),dtâng-jai tam-ngaan (ná) ,,Work hard! / Do your best at work.,
นั่นนะสิ(ค่ะ),nân ná sì (kà) ,,"Yeah, (that’s right). / That’s right.",
(ขอ)ถามหน่อย,(kɔ̌ɔ) tǎam nɔ̀i,,Let me ask you… / May I ask… ?,
อยากลองชิม,yàak lɔɔng chim,,I wanna try it. / I want to have a taste.,
จะโอนเงินให้,jà oon-ngən hâi,,(I)’ll wire you the money.,
ใครส่งมา,krai sòng maa,,Who sent it?,
(เขา)ทำอะไรผิด,(kǎo) tam à-rai pìt ,,What did (he) do wrong?,
ตั้งหน้าตั้งตา,... dtâng-nâa-dtâng-dtaa,,(I)’m looking forward to…,
ทุกอย่างมันเป็นไปได้,túk-yàang man bpen-bpai-dâi ,,Anything’s possible.,
โลกกลม,lôok glom,,It’s small world! / Small world!,
น่ากลัวจริงๆ,nâa-glua jing-jing,,It’s really scary. / That’s really scary.,
ขนลุกเลย,kǒn-lúk ləəi,,Really creepy! / Makes my hair stand on end! / Gives me the goosebumps!,
เขาเพิ่งเรียนจบ,kǎo pə̂ng rian jòp,,He just graduated.,
ต้องดูแลตัวเองดีๆ,dtɔ̂ng duu-lɛɛ dtua-eeng dii-dii ,,You have to take good care of yourself.,
