thai,phonetic,register,definition,note
มึงอยากมีเรื่องใช่มั้ย,mʉng yàak mii-rʉ̂ang châi-mái ,STRONG/ANGRY,"You wanna fight, huh?!",
(ดูแปลกๆ)ยังไงก็ไม่รู้,(duu bplɛ̀ɛk-bplɛ̀ɛk) yang-ngai gɔ̂ɔ mâi-rúu ,,Somehow (it looks strange). / (It looks strange) somehow.,
ถูกบีบคอตาย,tùuk bìip-kɔɔ dtaai (,,She) was strangled to death.,
กรรมตามทัน,gam-dtaam-tan,,Karmic justice. / Poetic Justice. / You get what you deserve.,
เคยเป็นอาณานิคมของ(อังกฤษ)มาก่อน,kəəi bpen aa-naa-ní-kom kɔ̌ɔng (ang-grìt) maa-gɔ̀ɔn,,It was formerly a colony of (England). / It used to be a colony of (England).,
พ้นผิด(แล้ว),pón-pìt (lɛ́ɛo) (,,He) was acquitted.,
(มัน)บังเอิญเกินไป(... ),(man) bang-əən gəən bpai (...) ,,It’s too much of a coincidence(…) / It’s too coincidental.,
ขอติดไปด้วย(คน)ได้มั้ย,kɔ̌ɔ dtìt bpai dûai (kon) dâi-mái ,INFORMAL,Can I tag along? / Can I go with you?,
ลอง(ดู)สักตั้ง,lɔɔng (duu) sàk-dtâng ,,Give it a shot.,
…แต่ความจริงไม่ใช่,...dtɛ̀ɛ kwaam-jing mâi-châi,,…but it wasn’t true. / …but that wasn’t really what happened. / …but that wasn’t how it was.,
(คุณ)ยังสนใจ.... อยู่(อีก)หรือ,(kun) yang sǒn-jai... yùu (ìik) rʉ̌ʉ,,Are you still interested in… ?,
เหมือนงมเข็มในมหาสมุทร,mʉ̌an ngom kěm nai má-hǎa-sà-mùt ,,It’s like trying to find a needle in a haystack. (=groping for a needle in an ocean),
ขอให้พระคุ้มครองคุณ,kɔ̌ɔ-hâi prá kúm-krɔɔng kun ,,May Buddha bless you. / May Buddha be with you.,
ขอให้พระเจ้าคุ้มครองคุณ,kɔ̌ɔ-hâi prá-jâo kúm-krɔɔng kun,,May God bless you. / May God be with you.,
ต้องระวังตัวให้มากกว่านี้,dtɔ̂ng rá-wang-dtua hâi mâak-gwàa níi (,,You) have to be more careful.,
มีอะไรคืบหน้าหรือ,mii à-rai kʉ̂ʉp-nâa rʉ̌ʉ,,Did anything come up?,
ถ้ามีอะไรคืบหน้า(จะบอก),tâa mii à-rai kʉ̂ʉp-nâa (jà bɔ̀ɔk) ,,"If anything comes up, (I’ll let you know). / If something develops, (l’ll let you know).",
ช่างเอาอกเอาใจ,châng ao-òk-ao-jai,,(He)’s very thoughtful. / (He) treats me very well.,
เราไม่ได้เป็นอะไรกัน,ao mâi-dâi bpen-à-rai gan,,"There’s nothing between us. / We aren’t a couple. / We’re not (going) together. //We’re just friends, nothing more.",
ฉันทำอะไรให้เขาโกรธ,chǎn tam à-rai hâi kǎo gròot ,,What did I do to make him angry?,
