thai,phonetic,register,definition,note
คุ้มหรอ,kúm rɔ̌ɔ,INFORMAL,Is it worth it?,
ไม่คุ้ม,mâi kúm,,It’s not worth it.,
ขายไปแล้ว,kǎai bpai lɛ́ɛo,,It’s been sold. / They sold it already. / I sold it.,
ไม่รู้ว่าเขาชื่ออะไร,mâi-rúu wâa kǎo chʉ̂ʉ à-rai ,,I don’t know what her name is.,
ชินรึยัง,chin rʉ́-yang,,Are you used to it?,
ผมเคยเตือน(คุณ)แล้ว,pǒm kəəi dtʉan (kun) lɛ́ɛo ,,I’ve warned (you) before. / I already warned (you).,
ดีใจนะที่คุณชอบ,dii-jai ná tîi kun chɔ̂ɔp ,,I’m glad you like it.,
ผมไม่อยากบังคับคุณ,pǒm mâi-yàak bang-káp kun ,,I don’t want to force/pressure you.,
ไปคุยกันข้างนอก,bpai kui gan kâang-nɔ̂ɔk ,,Let’s (go) talk outside.,
ตอนเด็กๆอยากเป็น(นักกีฬาฟุตบอล),dtɔɔn dèk-dèk yàak bpen (nák-gii-laa fút-bɔn),,"When I was a kid, I wanted to be a (soccer player/footballer).",
(คุณพ่อ)ทําอาชีพอะไรคะ,(kun-pɔ̂ɔ) tam aa-chîip à-rai ká ,FORMAL,What kind of work does your (father) do? / What’s your (father)’s occupation?,
(ผม)อยากซื้อบ้าน,(pǒm) yàak sʉ́ʉ bâan ,,I wanna buy a house.,
(ฉัน)อยากซื้อบ้านหลังนี้,(chǎn) yàak sʉ́ʉ bâan lǎng níi ,,I want to buy this house.,
อาจจะมี(นะ),àat-jà mii (ná) ,,Perhaps there are some. / There may be some.,
เป็นของโบราณ,bpen kɔ̌ɔng-boo-raan,,It’s an antique. / It’s an (ancient) artifact.,
ไม่มีชีพจร,mâi-mii chîip-pá-jɔɔn,,(She) has no pulse.,
ขอหอมหน่อย,kɔ̌ɔ hɔ̌ɔm nɔ̀i,,Let me give you a kiss (a sniff kiss). / Let me kiss you.,
เขาไม่มีประกัน,kǎo mâi-mii bprà-gan,,She doesn’t have insurance. / He’s uninsured.,
(ราคา)(ยัง)ไม่รวมภาษี,(raa-kaa) (yang) mâi-ruam paa-sǐi (,,The price) doesn’t include tax.,
คุณได้อะไร,kun dâi à-rai,,What do you get (out of it)? / What did you get?,
