thai,phonetic,register,definition,note
ฉันท้อง,chǎn tɔ́ɔng,,I’m pregnant!,
ขับช้าๆ,kàp chá-chá,,Drive slowly.,
ระวังหน่อย,rá-wang nɔ̀i,,Be careful. / Watch it!,
เห็น… ไหม,hěn... mǎi,,Did you see…? / Have you seen…?,
ไม่เห็น(นะ),mâi-hěn (ná) ,,"No, (I) didn’t/haven’t. / No.",
อีกนิดหนึ่ง,ìik nít-nʉ̀ng,,A bit more. / A little more.,
คุณพูดถูก,kun pûut tùuk,,You’re right. / You were right. (what you said is true),
คุณพูดผิด,kun pûut pìt,,You’re wrong. / You were wrong. (what you said isn’t true),
ไม่เท่าไร,mâi tâo-rai,,Not so much. / Not really. / Not very.,
สาธุ,sǎa-tú,,Amen!,
ขอบคุณ(มาก)นะคะคุณหมอ,kɔ̀ɔp-kun (mâak) ná-ká kun mɔ̌ɔ,,Thank you (very much) Doctor.,
สัญญากับผม(ว่า... ),sǎn-yaa gàp pǒm (wâa...) ,,Promise me (that...),
กุญแจอยู่ในรถ,gun-jɛɛ yùu nai rót,,The key’s in the car. / The keys are in the car.,
ดีกว่ามาก,dii-gwàa mâak,,Much better.,
ฝนกำลังจะตก,fǒn gam-lang jà dtòk,,It’s going to rain.,
มานั่ง(สิ),maa nâng (sì) ,INFORMAL,Come sit. / Come and sit down. / Come. Have a seat.,
ฉัน(ก็)ไม่รู้,chǎn (gɔ̂ɔ) mâi-rúu ,,I don’t know.,
ไม่จริง(หรอก),mâi-jing (rɔ̀ɔk) ,,That’s not true! / Not true! / That’s a lie!,
ดีจังเลย,dii jang ləəi ,,That’s great. / That’s really good.,
พยายามอยู่,pá-yaa-yaam yùu,,(I)’m trying.,
