thai,phonetic,register,definition,note
ขอโทษที่ทำให้ลำบาก,kɔ̌ɔ̌-tôot tîi tam-hâi lam-bàak ,,Sorry to cause you trouble. / I’m sorry to bother you. / I’m sorry to have troubled you.,
(คุณ)ฟังไม่ผิด,(kun) fang mâi-pìt ,,You heard (that) right.,
เอาไว้เล่าให้ฟัง,ao-wái lâo-hâi-fang,,I’ll tell you (about it) later.,
อดสงสารไม่ได้,òt sǒng-sǎan mâi-dâi,,I can’t help but feel sorry for (her). / I can’t stop feeling sorry for (him).,
ไอ้ควาย,âi kwaai,VULGAR,Stupid son of a bitch! / Stupid bitch! / Idiot!,
จะไม่เกิดขึ้นอีก,jà mâi gə̀ət-kʉ̂n ìik (,,It) won’t happen again.,
ตอแหล,dtɔɔ-lɛ̌ɛ,STRONG,Bullshit! / You liar!,
เลิกตอแหลเถอะ,lə̂ək dtɔɔ-lɛ̌ɛ tə̀,STRONG,Stop bullshitting! / Quit shitting me! / Stop lying to me!,
ทำเกินไปแล้ว,tam gəən-bpai lɛ́ɛo,,You’re going too far! / He’s gone too far. / She’s overdone it.,
ไม่มีเศษเงิน,mâi-mii sèet-ngən,,(I) don’t have any change/coins. / (I) don’t have any loose change.,
มีแต่แบงค์(1000),mii-dtɛ̀ɛ bɛ́ng (pan) (,,I) only have (1000)s. / (I) only have (1000)-baht bills.,
ไม่มีเงินทอน,mâi-mii ngən-tɔɔn,,(He) doesn’t have any change.,
พูดได้แค่นี้แหละ,pûut dâi kɛ̂ɛ-níi lɛ̀,,That’s all I can say. / That’s all I’m sayin’.,
(มัน)ไม่มีอยู่จริง,(man) mâi-mii-yùu jing (,,It) doesn’t (really) exist. / (It)’s not real.,
ต้องทิ้งเอาไว้,dtɔ̂ng tíng ao-wái,,You have to leave it. / You have to set it aside.,
ผมจะรีบไปรีบกลับ,pǒm jà rîip bpai rîip glàp ,,I’ll hurry back. (go there and come back quickly),
พูดถึงก็มาพอดี,pûut-tʉ̌ng gɔ̂ɔ maa pɔɔ-dii,,Speak of the Devil! / Look who’s here!,
เดาถูก,dao tùuk,,I guessed it (right). / Good guess.,
หนีไม่พ้น,nǐi mâi-pón,,You can’t escape (it). / You can’t get away (from her). / There’s no escaping (it).,
ต้องมั่นใจในตัวเอง,dtɔ̂ng mân-jai nai dtua-eeng ,,You have to be self-confident. / You have to have self-confidence. / You have to be confident in yourself.,
