thai,phonetic,register,definition,note
อยู่ดีๆ,... (yùu-dii-dii…) ,,All of the sudden… / Suddenly… / Unexpectedly… / Then out of nowhere…,
ซึ่งแปลว่า,... (sʉ̂ng bplɛɛ-wâa...),,Which means…,
อย่างไรก็ตาม,...  (yàang-rai-gɔ̂ɔ-dtaam) ,FORMAL,However… / Nevertheless…,
ดังนั้น,...  (dang-nán) ,SEMI-FORMAL,Therefore… / So…,
เรียกง่ายๆ(ว่า),... rîak ngâai-ngâai (wâa)...,,...for short / Also called… / Otherwise known as…,
ไม่มีหลักฐานอะไร(เลย),mâi-mii làk-tǎan à-rai (ləəi) ,,There’s no proof/evidence (at all).,
ซ้ำร้าย,... (sám-ráai...),,(And) worse (yet)… / Moreover… / In addition…," This carries a negative meaning and isn’t the same as a neutral

‘moreover’."
ขึ้นต้นด้วย,(,,P) kʉ̂n-dtôn-dûai (P) It starts/begins with (the letter P).,
แต่มีข้อแม้(ว่า... ),dtɛ̀ɛ mii kɔ̂ɔ-mɛ́ɛ (wâa...) ,,But under one condition(…) / But there’s one stipulation.,
เป็นสัญลักษณ์ของ,... (bpen sǎn-yá-lák kɔ̌ɔng...) ,,It’s a symbol of… / It symbolizes… / It’s a sign of…,
เขาได้รับแรงบันดาลใจจาก(แม่ชีเทเรซ่า),kǎo dâi-ráp rɛɛng-ban-daan-jai jàak (mɛ̂ɛ-chii tee-ree-sâa),,She was inspired by (Mother Teresa).,
ไม่มีทางรักษา,(mâi-mii taang rák-sǎa) ,,There’s no cure. / It’s not treatable.,
มีไม่กี่คน(ที่),...  mii-mâi-gìi kon (tîi)...,SEMI-LITERARY,Not many… / Few people… / There are (very) few who…,
(มัน)นานมาแล้ว(... ),(man) naan-maa-lɛ́ɛo(…) (,SEMI-LITERARY,It) (was) a long time ago. / Long ago…,
ยิ่งไปกว่านั้น,...  (yîng-bpai-gwàa-nán...) ,SEMI-LITERARY,Moreover… / In addition… / Besides… / Also…,
…อีกด้วย,...ìik-dûai,,...also/as well/too,
ไม่เห็นจะยาก,mâi hěn jà yâak,,"It’s not so hard. / It can’t be that hard, can it?",
เพิ่มสีสันให้(กับ)(ชีวิต),pə̂əm sǐi-sǎn hâi (gàp)(chii-wít) ,SEMI-LITERARY,Add some color to (your life). / Brighten/spice up (your life).,
ปฏิเสธไม่ได้ว่า,... (bpà-dtì-sèet mâi-dâi wâa...) ,,I can’t deny… / You can’t deny…,
โดยส่วนตัว(ฉันไม่เห็นด้วย),dooi-sùan-dtua (chǎn mâi-hěn-dûai) ,,"Personally, (I don’t agree).",
