thai,phonetic,register,definition,note
ตื่นสาย,dtʉ̀ʉn sǎai,,(I) overslept. / (I) slept in.,
ผมรู้สึกผิด,pǒm rúu-sʉ̀k pìt,,I feel guilty.,
คงอีกไม่นาน,kong ìik-mâi-naan,,It shouldn’t be that long (from now). / It won’t be long.,
อดทนอีกหน่อย/อดทนอีกนิด,òt-ton ìik nɔ̀i/ òt-ton ìik nít ,,Hang in there a bit longer. / Be patient for a little bit longer.,
ผมไม่เสียใจเลย,pǒm mâi sǐa-jai ləəi,,I don’t regret it at all. / I have no regrets.,
เป็นแค่ลูกจ้าง,bpen kɛ̂ɛ lûuk-jâang,,I’m just an employee. / I just work here.,
(จะ)ใส่อะไรดี,(jà) sài à-rai dii ,,What should I wear?,
ปวดเยี่ยว,bpùat yîao,INFORMAL/ROUGH,I gotta take a piss! / I gotta piss.,
ฉันต้องรีบไป,chǎn dtɔ̂ng rîip bpai,,I gotta go. / I gotta rush off. / I gotta run. / I have to get going.,
เสียเวลาจริงๆ,sǐa-wee-laa jing-jing,,What a waste of time! / That’s really a waste of time!,
รู้จักเขาได้ยังไง,rúu-jàk kǎo dâi yang-ngai,,How do you know him?,
เขาเป็นแค่เพื่อน,kǎo bpen kɛ̂ɛ pʉ̂an,,He’s just a friend.,
ยังไม่ได้เป็นแฟน,yang mâi-dâi bpen fɛɛn ,,He’s not my boyfriend (yet).,
จะไปนานไหม,jà bpai naan mǎi,,Will (you) be gone long? / Will (you) be away for a long time?,
ผมเห็นข่าวว่า,... pǒm hěn kàao wâa...,,I saw the news (about)…,
ฉันจะทำให้(... ),chǎn jà tam hâi (...) ,,I’ll make it for you. / I’ll do it for you. / I’ll… (for you),
มีคนมาหาค่ะ,mii kon maa-hǎa kà,,Someone’s here to see you.,
ก็เรื่อยๆ,gɔ̂ɔ rʉ̂ai-rʉ̂ai,,So-so. / Not bad. (Used for answering ‘How are you?’ or ‘How is your business doing?’ etc.),
อย่านอนดึกนะ,yàa nɔɔn dʉ̀k ná,,Don’t stay up too late. / Don’t sleep too late.,
ไม่ต้องทำอะไร,mâi-dtɔ̂ng tam à-rai,,(You) don’t need to do anything.,
