thai,phonetic,register,definition,note
ผ่านมาพอดี,pàan maa pɔɔ-dii,,(I) just happened to be passing by.,
จะแวะไปหานะ,jà wɛ́ bpai-hǎa ná,,I’ll drop by to see you.,
เกาะแน่นๆ,gɔ̀ nɛ̂n-nɛ̂n,,"Hold on tight! (riding on the back of a motorcycle, etc.)",
เขาไม่ยอมหรอก,kǎo mâi yɔɔm rɔ̀ɔk,,She won’t let you! / She won’t allow it!,
ขายหมดเกลี้ยง,kǎai mòt-glîang ,,All sold out. / Completely sold out. / Sold them all!,
(หวาน)กำลังดี,(wǎan) gam-lang-dii ,,It’s just the right (sweetness). / The (sweetness) is perfect. / It’s got the exact perfect (sweetness).,
ผมมีเรื่องปรึกษา(ครับ),pǒm mii rʉ̂ang bprʉ̀k-sǎa (kráp) ,,I want to ask your advice (about something). / I need to consult with you about something.,
ตั้งใจทำให้ดีที่สุด,dtâng-jai tam-hâi dii-tîi-sùt ,,Try your best. / Do the best you can do. / Focus on doing your best.,
ยังเป็นเพื่อนกันได้ใช่ไหม,yang bpen pʉ̂an gan dâi châi-mǎi ,,"We can still be friends, can’t we?",
(…)จะได้ไม่เจ็บ (...),jà dâi mâi-jèp (…)so you won,,’t get hurt. / (…)so she won’t be heartbroken.,
เปิดใจยอมรับ,... bpə̀ət-jai yɔɔm-ráp...,,Open your mind/heart to…,
เขาหวังดี(กับ... ),kǎo wǎng-dii (gàp...) ,,He means well. / She has good intentions. / He’s doing this for your own good.,
ไม่ต้องลงทุนอะไรเลย,mâi-dtɔ̂ng long-tun à-rai ləəi,,"You don’t need to invest anything. / It’s not necessary to spend anything./(starting a business, etc.)",
(มี)กำไรน้อย,(mii) gam-rai nɔ́ɔi,,"There’s not much profit. / You can’t make much money. (from a business, etc.)",
เงินก้อนโต,ngən gɔ̂ɔn-dtoo,,big money / a huge amount of money / wads of cash,
มันโง่สิ้นดี,man ngôo sîn-dii,STRONG,That was so stupid! / He is such an idiot!,
ผมแค่ทำตามคำสั่ง,pǒm kɛ̂ɛ tam-dtaam kam-sàng ,,I was just following orders. / I was just doing what they told me to do.,
ปวดเมื่อยไปทั้งตัว(เลย),bpùat-mʉ̂ai bpai táng-dtua (ləəi) ,,I’m aching all over! / I’m stiff all over!,
ขอเวลาคิดก่อน,kɔ̌ɔ-wee-laa kít gɔ̀ɔn,,Give me some time to think. / I need some time to think about it.,
ฉันไม่เคยรู้สึกกับใครแบบนี้มาก่อน,chǎn mâi-kəəi rúu-sʉ̀k gàp krai bɛ̀ɛp-níi maa-gɔ̀ɔn,,I’ve never felt like this about anyone before.,
