thai,phonetic,register,definition,note
ขอบคุณสำหรับทุกอย่าง(นะคะ),kɔ̀ɔp-kun sǎm-ràp túk-yàang (ná-ká) ,,Thanks for everything. / Thank you for everything.,
ทำไมมอง(พ่อ)แบบนั้น,tam-mai mɔɔng (pɔ̂ɔ) bɛ̀ɛp-nán ,,Why are you looking at (me) like that? (as spoken by a father to his son),
อย่าบอก(แม่)นะ,yaa bɔ̀ɔk (mɛ̂ɛ) ná ,,Don’t tell (Mom).,
ปู่ย่าตายาย,bpùu-yâa-dtaa-yaai,,grandparents (=grandfather+grandmother+grandfather+grandmother),
เดี๋ยวก่อน,dtǐao-gɔ̀ɔn,,Wait. / Wait a minute. / Just a minute.,
ฉันได้เจอเพื่อนใหม่,chǎn dâi jəə pʉ̂an mài ,,I got to meet/make new friends.,
ไว้ค่อยเจอกัน,wái kɔ̂i jəə-gan (,INFORMAL,I’ll) see you later. / See you again.,
ดูเหมือนว่า,... duu mʉ̌an wâa...,,It looks like… / It seems that…,
สวัสดีตอนบ่าย,sà-wàt-dii dtɔɔn-bàai ,FORMAL/LITERARY,Good afternoon.,
ตั้งใจเรียนนะ,dtâng-jai rian ná,,Study hard.,
ไม่อยากฟัง,mâi-yàak fang,,I don’t want to hear (it). / I’m not listening.,
(ผม)อยู่กับเธอเสมอ,(pǒm) yùu-gàp təə sà-mə̌ə,,(I)’m always with you. / (I)’ll always be with you. / (I)’ll always be there for you.,
(เซ็น)ตรงนี้ครับ,sen dtrong-níi kráp (,,Sign) right here.,
กำลังจะหย่ากัน,gam-lang jà yàa-gan,,(They)’re getting a divorce.,
ฉันไม่รู้(ว่า)คุณเป็นใคร,chǎn mâi-rúu (wâa) kun bpen krai ,,I don’t know who you are.,
งั้นหรือ,ngán-rʉ̌ʉ,INFORMAL,Is that so? / Really?," This is a shortened, informal form of อย่างนั้นหรือ (yàang-nán-rʉ̌ʉ)."
ใช่แล้ว,châi-lɛ́ɛo,,That’s right. / Yep. / Yeah (that’s right).,
มีแค่นี้,mii kɛ̂ɛ-níi,,That’s it. / This is it. / That’s all (we) have.,
นั่นสินะ,nân-sì ná,,That’s right. / You’re right. / Right.,
คุณเดือดร้อนแน่(ๆ),kun dʉ̀at-rɔ́ɔn nɛ̂ɛ-(nɛ̂ɛ) ,,You’re in big trouble! / You’re in deep shit!,
