thai,phonetic,register,definition,note
เป็นอะไร,bpen à-rai,,Are you okay? / What’s wrong? / What’s going on?,
มีใครไปบ้าง,mii krai bpai bâang,,Who’s going?,
บอกว่าอะไร(คะ/ครับ),bɔ̀ɔk wâa à-rai (ká/kráp),,What did he say?,
พูดถึงอะไร,pûut-tʉ̌ng à-rai,,What are you talking about?,
คิดอะไรอยู่,kít à-rai yùu,,What are you thinking? / What are you thinking about?,
ไปเอามาจากไหน,bpai ao maa jàak nǎi,,Where did you get it/that?,
ทำอะไรอยู่ / ทำอะไรอ่ะ,tam à-rai yùu / tam à-rai à,INFORMAL,What are you doing?,
ช่วยหน่อย,chûai nɔ̀i,INFORMAL,Help me. / Can you help me?,
ว่ายังไงบ้างครับ,(wâa yang-ngai bâang kráp) ,,What did she say?,
กลัวอะไร,glua à-rai,,What are you afraid of?,
จำไม่ได้หรือ,jam mâi-dâi rə̌ə,,You don’t remember? / Don’t you remember?,
นานแค่ไหนแล้วที่,... (naan kɛ̂ɛ-nǎi lɛ́ɛo tîi...),,How long (has it been since)… ?,
ใครจะไปรู้,krai jà bpai rúu,,Who knows? / It’s anyone’s guess. / You never know.,
จะซื้ออะไรให้ดี,jà sʉ́ʉ à-rai hâi dii,,What should I get (him)? (for example: for his birthday),
(…) จะว่ายังไง (…),jà wâa yang-ngai,,What would (…) say/think? What do (you) say? //What do (you) have to say to that? / What do (you) think?,
เอาอย่างนี้/งี้,ao yàang níi/ngíi,,"How about this…? / I tell you what… / Okay, then… (giving suggestion)",
เคยไปหรือ,kəəi bpai rə̌ə,,"Oh, have you been (there) before? / Oh, you’ve been there before?",
ดีขึ้นไหม,dii-kʉ̂n mǎi,,Are you better now? / Is it better now?,
มันผิดตรงไหน,man pìt dtrong-nǎi,,What’s wrong with that/it?,
เขาทำอะไรคุณ,kao tam à-rai kun,,What did (she) do to you?,
