thai,phonetic,register,definition,note
ฉันหวังว่าคุณ(คง)เข้าใจ,chǎn wǎng-wâa kun (kong) kâo-jai ,,I hope you understand.,
อย่า(มา)ขัดจังหวะ,yàa (maa) kàt-jang-wà ,,Don’t interrupt. / Don’t interrupt me.,
มีอะไรให้(ผม)ช่วยไหมครับ,mii à-rai hâi (pǒm) chûai mǎi kráp ,,Is there something I can help you with?,
ขอลายเซ็นได้ไหม(ครับ),kɔ̌ɔ laai-sen dâi-mǎi (kráp) ,,Can I have your autograph?,
ได้สิ(คะ/ครับ),dâi sì (ká/kráp) ,,Sure. / Yes. / Certainly. (you can),
(…)ยังว่างอยู่ (…),yang wâang-yùu (…) is still available. / (…) is still open.,,,
ทางเดียวที่จะ(รอด)คือ,... taang-diao tîi jà (rɔ̂ɔt) kʉʉ…,,The only way to (survive) is…,
คุณจะรู้สึกยังไง(ถ้า... ),kun jà rúu-sʉ̀k yang-ngai (tâa...) ,,How would you feel (if…)?," ยังไง (yang-ngai) is a shortened, more casual form of อย่างไร (yàang-rai)."
เอาไปเลย,ao bpai ləəi,,(Just) take it. / (Just) keep it.,
สวัสดีตอนค่ำ,sà-wàt-dii dtɔɔn-kâm ,SEMI-FORMAL,Good evening.,
ยินดีรับใช้(ค่ะ/ครับ),yin-dii ráp-chái (kà/kráp) ,FORMAL,At your service. / Welcome.,
มีรายได้เดือนละ,"(30,000) ",,"บาท mii raai-dâi dʉan lá (sǎam-mʉ̀ʉn) bàat (I) make (30,000) baht per month. / I have a monthly income of (30,000) baht.",
ฉันจะพยายามเต็มที่,chǎn jà pá-yaa-yaam dtem-tîi ,,I'll do my best. / I’ll try my hardest.,
คุณน่าจะโทรบอก,kun nâa-jà too-bɔ̀ɔk,,You should have called. (and told me),
ฉันจะโทรบอกเขา,chǎn jà too bɔ̀ɔk kǎo,,I’ll call him (and let him know).,
(คุณพ่อ)บอกเสมอว่า,... (kun pɔ̂ɔ) bɔ̀ɔk sà-mə̌ə wâa...,,(My father) always said… / (My father) always used to say…,
เดินทางปลอดภัยนะ,dəən-taang bplɔ̀ɔt-pai ná ,,Have a safe trip.,
หน้าตาเหมือน(ดารา),nâa-dtaa mʉ̌an (daa-raa) ,,He looks like a (movie star).,
ขอให้สนุกนะ,kɔ̌ɔ-hâi sà-nùk ná,,Have a good time. / Enjoy (yourself). / Have fun.,
มาสายไปหน่อย,maa sǎai bpai nɔ̀i,,I’m a bit late.,
