thai,phonetic,register,definition,note
ไฟดับ(แล้ว),fai-dàp (lɛ́ɛo) ,,The power’s out. / There’s a power outage.,
จะรีบไปไหน,jà rîip bpai-nǎi,,Where are you rushing off to? / Where are you hurrying to?,
อย่าใจร้อน,yàa jai-rɔ́ɔn,,Don’t (be in a) rush! / Don’t be so hot-tempered!,
ที่นี่ที่ไหน,tîi-nîi tîi-nǎi,,Where are we? / Where is this place?,
คงมีเรื่องเข้าใจผิดกัน,kong mii rʉ̂ang-kâo-jai-pìt-gan ,,There must be a/some misunderstanding.,
เขาไม่สนใจอะไรเลยนอกจาก(เงิน),kǎo mâi-sǒn-jai à-rai ləəi nɔ̂ɔk-jàak (ngən) ,,She’s not interested in anything except/other than (money).,
ดูท่าทาง(ไม่ค่อยสนใจ),duu-tâa-taang (mâi-kɔ̂i sǒn-jai) ,,He doesn’t seem (so interested). / It looks like (he’s not so interested). / It doesn’t look like (he’s very interested).,
เขาดูมีความสุขมาก(เลย),kǎo duu mii-kwaam-sùk mâak (ləəi) ,,She looks like she’s really happy. / She seems really happy.,
ไม่บอกก็ไม่เป็นไร,mâi bɔ̀ɔk gɔ̂ɔ mâi-bpen-rai ,,"If you don’t tell me, it’s okay. / If you aren’t going to tell me, no problem.",
ไม่มีอะไรสำคัญ(ไป)กว่า(ครอบครัว),mâi mii à-rai sǎm-kan (bpai) gwàa (krɔ̂ɔp-krua),,Nothing’s more important than (family). / There’s nothing more important than (family.),
ทำอะไรไม่ถูก,tam à-rai mâi-tùuk,,I couldn’t do anything. / I was helpless. / I was at a loss.,
รู้แล้วว่าใคร,rúu lɛ́ɛo wâa krai (,,I) know who it was!,
รู้แล้วว่าใครทำ,rúu lɛ́ɛo wâa krai tam (,,I) know who did it!,
ขอความร่วมมือ(... ),kɔ̌ɔ kwaam-rûam-mʉʉ (...) (,FORMAL,We) ask for your cooperation. / (I)’d like to ask for your cooperation.,
เชิญด้านนี้,chəən dâan-níi ,FORMAL,"This way, please. / Follow me, please.",
พูดไม่รู้เรื่อง,pûut mâi-rúu-rʉ̂ang,,(She) doesn’t make any sense!,
ไม่ลำบากอะไรเลย,mâi lam-bàak à-rai ləəi,,It was no trouble. / No trouble at all.,
(กลัว)ตื่นไม่ทัน,(glua) dtʉ̀ʉn mâi-tan (,,I’m afraid) I’ll oversleep. / (I’m afraid) I won’t wake up in time.,
ฉันรู้ความลับของคุณ,chǎn rúu kwaam-láp kɔ̌ɔng kun ,,I know your secret!,
พูดความจริงเถอะ,pûut kwaam-jing tə̀,,Tell (me) the truth!,
