thai,phonetic,register,definition,note
เช่นกัน,chên-gan,SEMI-FORMAL,"Me, too. / You, too. / Same here. / Likewise.",
รักษาตัวด้วย,rák-sǎa dtua dûai ,SEMI-FORMAL,Take care (of yourself).,
น่าทึ่งมาก,nâa-tʉ̂ng mâak,,(It)’s really amazing/impressive/incredible!,
)ย่อมาจากอะไร,(,,FYI (FYI) yɔ̂ɔ maa-jàak à-rai What does (FYI) stand for?,
ทำแบบนี้ไม่ได้,tam bɛ̀ɛp-níi mâi-dâi,,(You) can’t do that. / (You) can’t do this.,
เขาเป็นคนดี,kǎo bpen kon dii,,He’s a nice guy. / He’s a good person.,
ผมจะทำให้ดู,pǒm jà tam-hâi duu,,"I’ll show you. (how to do it, etc.)",
จำไว้ให้ดี,jam wái hâi dii,,Just remember… / Keep in mind… / Bear in mind…,
หลังจากนั้นผม(ก็),... lǎng-jàak nán pǒm (gɔ̂ɔ)...,,After that I… / Then I…,
อยากให้คุณรู้ว่า,... yàak hâi kun rúu wâa...,,I want you to know…,
เขาหน้าตา(เป็น)ยังไง,kǎo nâa-dtaa (bpen) yang-ngai ,INFORMAL,What does s/he look like?,
อย่าแตะต้อง(อะไร),yàa dtɛ̀-dtɔ̂ng (à-rai),,Don’t touch (anything)!,
อ่าน(หมด)ทุกเล่ม(เลย),àan (mòt) túk lêm (ləəi) ,,I read them all. / I’ve read each and every one.,
เขายังมีชีวิตอยู่หรือเปล่า,kǎo yang mii-chii-wít-yùu rʉ̌ʉ-bplàao ,,Is he still alive/living?,
ยังมีชีวิตอยู่,yang mii-chii-wít-yùu,,(I)’m still alive.,
ฉันไม่ได้บอกว่า(คุณบ้า),chǎn mâi-dâi bɔ̀ɔk wâa (kun bâa) ,,I didn’t say (you were crazy).,
มองอะไรวะ,mɔɔng à-rai wá ,STRONG/VULGAR,What are ya lookin’ it?!,
พอใจหรือยัง,pɔɔ-jai rʉ̌ʉ-yang,,Are you satisfied (now)? / Satisfied?,
จริงรึเปล่า,jing rʉ́-bplàao,,Is it true? / Really?,
ไม่เคยได้ยิน,mâi-kəəi dâi-yin,,Never heard it. / Never heard of him.,
