thai,phonetic,register,definition,note
มันไม่ใช่ความผิดของ(คุณ),man mâi-châi kwaam-pìt kɔ̌ɔng (kun) ,,It wasn’t (your) fault. / It isn’t (your) fault.,
ไม่ใช่หรอก,mâi-châi rɔ̀ɔk ,INFORMAL,"No, it (isn’t). / No, that’s not it.",
นอนลง,nɔɔn long,,Lie down.,
ยังไม่กลับมา,yang mâi glàp maa,,(He)’s not back yet. / (She) hasn’t returned yet.,
ปวดฉี่,bpùat chìi,,I gotta pee. / I have to go to the bathroom.,
คุณกำลังทำอะไรอยู่,kun gam-lang tam à-rai yùu ,,What are you doing?,
ผมเผลอหลับไป,pǒm plə̌ə làp bpai,,I nodded off. / I dozed off. / I fell asleep.,
อย่าส่งเสียง,yàa sòng-sǐang,,Don’t make a sound!,
เก่งจริงๆ,gèng jing-jing,,Great job! / Very good!,
…ทำให้นึกถึง,... ...tam-hâi nʉ́k-tʉ̌ng...,,…(that) reminds me of… / …(that) makes me of think of…,
เขาเสียเลือดมาก,kǎo sǐa lʉ̂at mâak,,"He lost a lot of blood. (in an accident, etc.)",
อีกสักครู่,ìik sàk-krûu,,In a minute. / Shortly. / In a bit. / In a moment.,
มีใครรู้ไหม(ว่า... ),mii krai rúu mǎi (wâa...) ,,Does anyone know (…)?,
อย่าทะเลาะกันเลยนะ,yàa tá-lɔ́-gan ləəi ná ,,Don’t argue! / Don’t fight! / No fighting!,
ไม่เห็นสักคน(เลย),mâi hěn sàk kon (ləəi) (,,I) didn’t see anyone (at all).,
เสียหายไปหมด(แล้ว),sǐa-hǎai bpai mòt (lɛ́ɛo) ,,Everything was destroyed. / It was badly damaged.,
(ห้อง)กว้างขวางดี,(hɔ̂ng) gwâang-kwǎang dii (,,The room)’s spacious/large.,
ทิ้งเขาไม่ได้,tíng kǎo mâi-dâi,,(I) can’t leave him.,
ทำงานได้ดีมาก,tam-ngaan dâi dii mâak,,Great job! / Nice work!,
รีบไปกันเถอะ,rîip bpai gan tə̀,,Let’s get going! / Let’s go! / Let’s hurry!,
