thai,phonetic,register,definition,note
เขาทิ้งฉัน,kǎo tíng chǎn,,He left me. / He dumped me.,
ทำให้หิว,tam-hâi hǐu,,Makes (me) hungry.,
(คุณ)อยากทำอะไร,(kun) yàak tam à-rai ,,What do you wanna do?,
เขาหล่อ,kǎo lɔ̀ɔ,,He’s handsome. / He’s cute.,
เขาหน้าตาดี,kǎo nâa-dtaa dii,,She’s good looking. / He’s handsome.,
เขาใจดี(มาก),kǎo jai-dii (mâak) ,,He’s (very) kind. / He’s (really) nice.,
(เรา)เป็นเพื่อนกัน,(rao) bpen pʉ̂an gan (,,We)’re friends.,
ไม่เหมือนผม,mâi-mʉ̌an pǒm,,Not like me. / Unlike me.,
อยากเลี้ยง(หมา),yàak líang (mǎa) ,,I wanna have a (dog).,
รอไม่ได้,rɔɔ mâi-dâi,,(I) can’t wait.,
ไม่รู้จักเขา,mâi rúu-jàk kǎo,,(I) don’t know him/her.,
ยังไม่หิว,yang mâi hǐu,,I’m not hungry (yet).,
ฉันไปด้วย,chǎn bpai dûai,,I’m going too! / I’m going with you.,
คุณต้องหยุด,kun dtɔ̂ng yùt ,,You have to stop. / You have to quit.,
อะไรหรือ(ครับ),à-rai rʉ̌ʉ (kráp) ,,What (is it)?,
พักผ่อนเยอะๆ,pák-pɔ̀n yə́-yə́,,Get a lot of rest. / Rest up.,
ไม่รู้(เขา)อยู่ไหน,mâi-rúu (kǎo) yùu-nǎi ,,I don’t know where (he) is.,
กลับมาตั้งแต่เมื่อไร,glàp-maa dtâng-dtɛ̀ɛ mʉ̂a-rai ,,When did (you) get/come back?,
ไปก่อนนะ,bpai gɔ̀ɔn ná,,Bye. / Gonna go now—bye. / See you later. (one person leaves before the other),
ยังไม่หลับหรือ,yang mâi làp rʉ̌ʉ,,Are you still awake? / Not sleeping yet?,
