thai,phonetic,register,definition,note
ยังไงก็ขอบคุณ / ยังไงก็ขอบใจ,yang-ngai gɔ̂ɔ kɔ̀ɔp-kun / yang-ngai gɔ̂ɔ,,kɔ̀ɔp-jai/Thank you anyway. / Thanks anyway.,
หนูพยายามทุกอย่าง(แล้ว),nǔu pá-yaa-yaam túk-yàang (lɛ́ɛo) ,,I tried everything. / I’ve tried everything.,
ต้องทำให้ได้,dtɔ̂ng tam hâi-dâi,,(You) gotta do it! / (You) have to do it! / (You) must do it!,
(อาการ)ยังไม่ดีขึ้น,(aa-gaan) yang mâi dii-kʉ̂n (,,He)’s not better yet. / (He) hasn’t gotten any better yet.,
มันเจ็บ(จริงๆ),man jèp (jing-jing) ,,It (really) hurts! / That (really) hurts!,
ไม่เอาอะไร,mâi ao à-rai,,I don’t need anything. / I don’t want anything.,
เขานอนโรงพยาบาล,kǎo nɔɔn roong-pá-yaa-baan ,,He’s in the hospital.,
พยายามฆ่าเขา,pá-yaa-yaam kâa kǎo,,He tried to kill/murder her.,
มันหวานดี,man wǎan dii,,It’s nice and sweet! / It’s really sweet.,
ทำไมแพงจัง(เลย),tam-mai pɛɛng jang (ləəi) ,,Why is it/that so expensive?,
หาทั่วแล้ว,hǎa tûa lɛ́ɛo,,(I) searched/looked everywhere!,
ใช้ได้,chái-dâi,,It’s useable. / You can use it. / It works.,
อร่อยที่สุดในโลก,à-rɔ̀i tîi-sùt nai lôok ,,The best in the world! / The most delicious in the world!,
ก็เหมือนเดิม,gɔ̂ɔ mʉ̌an-dəəm,,The same. / Same as before. / Same as usual.,
ฉันต้องไปทำงานต่อนะ,chǎn dtɔ̂ng bpai tam-ngaan dtɔ̀ɔ ná ,,I gotta get back to work.,
ให้ฉันช่วยนะ,hâi chǎn chûai ná ,,Let me help you. / I’ll give you a hand.,
ดูสิใครมา,duu sì krai maa,,Look who’s here!,
หลีกไป,lìik bpai,STRONG,Get out of the way! / Move (out)! / Move it!,
เป็นเรื่องส่วนตัว,bpen rʉ̂ang-sùan-dtua ,,It’s personal. / It’s a private matter. / That’s private.,
ไม่รับสาย,mâi ráp-sǎai,,(He) doesn’t answer. / He doesn’t pick up the phone.,
