thai,phonetic,register,definition,note
หายใจลึกๆ,hǎai-jai lʉ́k-lʉ́k,,Breathe deeply. / Take a deep breath.,
ไม่รู้เรื่องอะไร(เลย),mâi-rúu-rʉ̂ang à-rai (ləəi) ,,You don’t know anything! / I don’t know anything.,
ไม่มีใครช่วยได้,mâi-mii-krai chûai dâi ,,No one can help me. / No one can help.,
ใครกัน,krai gan ,BIT STRONG or SURPRISED,Who? / Who’s that?,
คุณมาตั้งแต่เมื่อไหร่,kun maa dtâng-dtɛ̀ɛ mʉ̂a-rài ,,When did you get here?,
อย่าให้ใครรู้,yàa hâi krai rúu,,Don’t let anyone know!,
บอกผมมาเลย,bɔ̀ɔk pǒm maa ləəi ,INFORMAL,Tell me. (urging),
เขาเลือกไม่ได้,kǎo lʉ̂ak mâi-dâi,,She had no choice. / She couldn’t choose.,
ไม่อยากทำอย่างนี้,mâi yàak tam yàang-níi (,,I) don’t wanna do this.,
(มัน)ไม่ได้แปลว่า,... (man) mâi-dâi bplɛ̀ɛ-wâa...,,It/that doesn’t mean…,
ว่าแต่,… wâa-dtɛ̀ɛ...,,Speaking of… / By the way… / So…,
ไม่รู้หรือว่า,... mâi rúu rʉ̌ʉ wâa...,,Don’t you know (that)…?,
ฉันแปลกใจที่,... chǎn bplɛ̀ɛk-jai tîi...,,I’m surprised that…,
เปลี่ยนใจทำไม / ทำไม(ถึง)เปลี่ยนใจ,bplìan-jai tam-mai / tam-mai (tʉ̌ng) bplìan-jai,,Why did you change your mind?,
ขออุ้มหน่อย(ได้ไหม),kɔ̌ɔ ûm nɔ̀i (dâi-mǎi) ,,Can I hold him? / Can I hold her? (of a baby),
ต้องเลี้ยงลูกคนเดียว,dtɔ̂ng líang lûuk kon-diao (,,She) had to raise her son/daughter by herself.,
ผมไม่อยากอยู่ที่นี่แล้ว,pǒm mâi-yàak yùu tîi-nîi lɛ́ɛo ,,I don’t wanna live/stay here anymore.,
ผมจะคุยกับเขาเอง,pǒm jà kui-gàp kǎo eeng ,,I’ll talk to him myself.,
ต้องเตรียมไว้ก่อน,dtɔ̂ng dtriam wái gɔ̀ɔn ,,You gotta be prepared (in advance). / You should be ready.,
ต้องเลิกคิดถึงเธอ,dtɔ̂ng lə̂ək kít-tʉ̌ng təə,,(I) have to get her out of my head! / (I) have to stop thinking about her!,
