thai,phonetic,register,definition,note
มาครบแล้ว,maa króp lɛ́ɛo,,"Everyone’s here! / We have everything now. (They’ve all arrived./All food items we ordered have come, etc.)",
ถูกของคุณ,tùuk kɔ̌ɔng kun,,You’re right. / What you say is correct.,
คุณทำถูก,kun tam tùuk,,You did the right thing. / You were right. / What you did was right.,
เราต้องทำทุกอย่างให้เสร็จภายใน (2 เดือน),rao dtɔ̂ng tam túk-yàang hâi sèt paai-nai (sɔ̌ɔng dʉan),,We have to finish everything within (2 months).,
มีใครอีกไหม,mii krai ìik mǎi,,Are there others? / Anyone else?,
(จำเลย)รับสารภาพ,(jam-ləəi) ráp sǎa-rá-pâap (,,The defendant) confessed. / (The defendant) pleaded guilty.,
(คุณ)คิดอย่างนั้นหรือ(เปล่า),(kun) kít yàang-nán rʉ̌ʉ (bplàao) ,,Is that how you think? / Do you think like that? / Do you think that too?,
ด้วยความยินดีครับ,dûai kwaam-yin-dii kráp ,FORMAL,It’s my pleasure. / The pleasure was mine. / You’re welcome.,
มีพร้อมทุกอย่าง,mii prɔ́ɔm túk-yàang,,It has everything. / He has everything. (example: a condo is fully furnished with other things as well).,
มีมาหลายปีแล้ว,mii maa lǎai bpii lɛ́ɛo (,,He)’s had it for many years. / (They)’ve been around for years.,
ข้อหาอะไร,kɔ̂ɔ-hǎa à-rai,,For what? / On what charge? / On what grounds?,
วางอาวุธ,waang aa-wút,,Drop your weapon! / Put your weapon down!,
ยกมือขึ้น,yók-mʉʉ kʉ̂n,,Hands up!,
ไม่ใช่เรื่องบังเอิญ,mâi-châi rʉ̂ang-bang-əən ,,It’s not a coincidence. / It’s no coincidence.,
ผมไม่มีที่ไป,pǒm mâi-mii tîi bpai,,I have nowhere to go. / I have no place to go. / I have nowhere left to go.,
ขอโทษที่ทำให้ตกใจ,kɔ̌ɔ-tôot tîi tam-hâi dtòk-jai ,,Sorry to startle/scare you.,
ต้องเป็นเขา(แน่),dtɔ̂ng bpen kǎo (nɛ̂ɛ) ,,It must be him! / It’s gotta be him! / It must have been him!,
เพื่ออะไร(คะ),pʉ̂a à-rai (ká) ,,For what? / For what purpose?,
ที่เดิมเวลาเดิม,tîi dəəm wee-laa dəəm ,,"Same place, same time.",
ไอ้เวร,âi-ween,VULGAR,You bastard! / You asshole!,
