thai,phonetic,register,definition,note
จะลืมได้ยังไง,jà lʉʉm dâi yang-ngai,,How can I forget? / How can I forget (you)?,
ทำต่อไป,tam dtɔ̀ɔ-bpai,,Keep going (keep doing it). / Carry on.,
มีเท่านี้,mii tâo-níi,,That’s all (I have). / That’s it.,
เมื่อ(วันเสาร์)ที่ผ่านมา,mʉ̂a (wan-sǎao) tîi-pàan-maa ,,Last (Saturday)...,
เริ่มต้นใหม่อีกครั้ง,rə̂əm-dtôn mài ìik kráng ,,Start (all) over again. / Start afresh.,
มีหลายสาขา,mii lǎai sǎa-kǎa,,"There are many branches. (stores, etc.)",
พ่อต้องเชื่อผม,pɔ̂ɔ dtɔ̂ng chʉ̂a pǒm,,"You have to believe me, Dad! / You gotta believe me!",
เขาทำอะไรคุณหรือเปล่า,kǎo tam à-rai kun rʉ̌ʉ-bplàao ,,Did they do anything to you?,
เลิกงานดึก,lə̂ək-ngaan dʉ̀k,,(I) was working late. / I finished work late.,
ไปกินข้าวกัน,bpai gin-kâao gan,,Let’s go eat. / Let’s go get something to eat.,
กินอะไรดีนะ,gin à-rai dii ná,,What do you wanna eat? / What should we eat?,
ฉัน(ได้)มีโอกาสคุยกับ,... chǎn (dâi) mii oo-gàat kui gàp...,,I had a chance to talk with…,
จำรายละเอียดไม่ได้,jam raai-lá-ìat mâi-dâi (,,I) can’t remember the details.,
เข้าใจที่ฉันพูดไหม,kâo-jai tîi chǎn pûut mǎi ,,Do you understand me? / Do you understand what I’m saying? / Do you understand what I said?,
ฉันเคยมาที่นี่หลายครั้ง,chǎn kəəi maa tîi-nîi lǎai kráng ,,I’m been here many times (before).,
(จะ)ทำให้ดูสวยขึ้น,(jà) tam-hâi duu sǔai kʉ̂n (,,It) (will) make you look more beautiful. / (It) makes it look more attractive.,
(ผม)ยินดีช่วย,(pǒm) yin-dii chûai (,,I)’m happy to help. / Happy to help.,
หวังว่าคุณจะเข้าใจ,wǎng-wâa kun jà kâo-jai (,,I) hope you understand.,
ขอถ่ายรูปได้ไหมคะ,kɔ̌ɔ tàai rûup dâi-mǎi ká ,,Can I take your/a picture?,
อย่าทำให้(ผม)โมโห,yàa tam-hâi (pǒm) moo-hǒo ,,Don’t make me angry/mad.,
