thai,phonetic,register,definition,note
ฉันสับสน,chǎn sàp-sǒn,,I’m confused.,
เขาโชคดี,kǎo chôok-dii,,He’s lucky.,
ไม่ได้,mâi-dâi,,No! / (You) can’t!,
พรุ่งนี้(วันเสาร์)/พรุ่งนี้เป็น(วันเสาร์),prûng-níi (wan-sǎo) / prûng-níi bpen (wan-sǎo),,Tomorrow’s (Saturday),
ไม่จำเป็น,mâi jam-bpen,,It’s not necessary. / (There’s) no need.,
ไม่อายเหรอ,mâi aai rə̌ə,,Aren’t you embarrassed/ashamed?!,
(มัน)อยู่ชั้น(3),(man) yùu chán (sǎam) (,,It)’s on the (3rd) floor.,
หนักเท่าไหร่,nàk tâo-rài ,,How much does (it) weigh?,
เงียบ(ไป),ngîap (bpai) ,INFORMAL-STRONG,Quiet!,
โทรไปแล้ว,too-bpai lɛ́ɛo,,I called already. / I called him already.,
ฉันอยากเจอเขา,chǎn yàak jəə kǎo,,I want to meet him/her.,
(8)ชั่วโมงต่อวัน,(bpɛ̀ɛt) chûa-moong dtɔ̀ɔ-wan (8) hours a day.,,,
ทำยาก,tam yâak,,It’s difficult to do. / That’s hard.,
พูดสิ,pûut sì,,"Say it. (repeat it after me, etc.)",
ฉันไม่กลัว(หรอก),chǎn mâi-glûa (rɔ̀ɔk) ,,I’m not afraid (at all).,
ล้างมือก่อน,láang mʉʉ gɔ̀ɔn,,Wash your hands (first).,
ทุกวัน,túk-wan,,Every day.,
มันหนักมาก,man nàk mâak,,It’s very heavy.,
นานแค่ไหน,naan kɛ̂ɛ-nǎi,,For how long?,
ใหญ่มาก,yài mâak,,It’s huge. / That’s a big one.,
