thai,phonetic,register,definition,note
ยังมี(ความ)หวัง,yang mii (kwaam)wǎng ,,There’s still hope. / He still has hope.,
ทำอะไรดี,tam à-rai dii,,What should I do? / What should we do?,
เข้าใจป่ะ,kâo-jai bpà ,VERY INFORMAL,Got it? / Understand?, ป่ะ (bpà) is a shortened form of เปล่า (bplàao) [from หรือเปล่า (rʉ̌ʉ-bplàao)].
ใส่ไว้ใน(กระเป๋า),sài-wái-nai (grà-bpǎo) ,,Put it in (your pocket).,
ผลิตที่ไหน,pà-lìt tîi-nǎi,,Where was (it) made/manufactured?,
ได้เลย,dâi ləəi,,"Sure! / Okay! (I’ll do it, etc.)",
ยินดีครับ/ค่ะ,yin-dii kráp/kà,,You’re welcome. / My pleasure. / Any time. / Sure.,
…ตกบนพื้น,dtòk bon pʉ́ʉn,,(It) fell on the floor. / (It) fell on the ground.,
จะต้องชอบแน่ๆ,jà dtɔ̂ng chɔ̂ɔp nɛ̂ɛ-nɛ̂ɛ,,You would love it! / You will love it! / You’re gonna love it! / You would have loved it!,
มันเป็นช่วงฤดู(หนาว),man bpen chûang rʉ́-duu (nǎao) ,SEMI-FORMAL,It was (winter). / It was in the (winter) time.,
อากาศ(หนาว)มาก,aa-gàat (nǎao) mâak ,,It was very (cold). / The weather was very (cold).,
มันอร่อยจริงๆ,man à-rɔ̀i jing-jing,,This is really good! / This is really delicious!,
ผมไม่มีอะไรจะพูด,pǒm mâi-mii-à-rai jà pûut ,,I have nothing to say.,
น่าสนนะ,nâa-sǒn ná,INFORMAL,Interesting! / Sounds interesting!,
เดี๋ยวมานะ,dtǐao maa ná,,I’ll be right back. / Be right back.,
มีปัญหาใหญ่,mii bpan-hǎa yài,,(We) have a big problem.,
ทำการบ้านเสร็จหรือยัง,tam gaan-bâan sèt-rʉ̌ʉ-yang ,,Have you finished your homework?,
(มัน)ง่ายจะตาย,(man) ngâai jà dtaai ,,It’s so easy! / It’s a piece of cake!,
ขอบคุณเรื่องอะไร,kɔ̂ɔp-kun rʉ̂ang à-rai ,,Thank you for what? / Thank me for what?,
จะรับอะไรเพิ่มหรือเปล่าครับ,jà ráp à-rai pə̂əm rʉ̌ʉ-bplàao kráp ,,Would you like something else?,
