thai,phonetic,register,definition,note
ทำไมจะไม่ได้,tam-mai jà mâi-dâi ,,Why CAN’T you?! / Why not?!,
ไม่มีใครพิสูจน์ได้,mâi-mii-krai pí-sùut dâi ,,No one can prove it. / You can’t prove it. / No one could prove it.,
เล่าให้(ฉัน)ฟังก็ได้นะ,lâo hâi (chǎn) fang gɔ̂ɔ-dâi ná (,,You) can tell me (about it).,
เป็นอะไรตาย,bpen-à-rai dtaai ,INFORMAL,What did he die of? / What did he die from?,
(มัน)มีอยู่จริง,(man) mii-yùu jing (,,It) (really) does exist. / (It)’s real.,
มันเกิดขึ้นเร็วมาก,man gə̀ət-kʉ̂n reo mâak ,,It happened so fast.,
ผมไม่มีอะไรจะคุย,pǒm mâi-mii-à-rai jà kui ,,I have nothing to say.,
ไม่น่าเป็นห่วง,mâi-nâa bpen-hùang,,There’s nothing to worry about. / No need to worry (about it).,
อย่าไปใส่ใจเลย,yàa bpai sài-jai ləəi,,Don’t pay (it) any attention. / Don’t worry about it. / Just let it go.,
ตามธรรมเนียม(จีน)(...),dtaam-tam-nian (jiin) (...) ,,It’s a (Chinese) tradition. / According to (Chinese) tradition (…) / Following (Chinese) custom (…),
ต้องมีอะไรบางอย่าง,... dtɔ̂ng mii-à-rai baang-yàang...,,There must be something… / There’s gotta be something…,
คุณจะไม่ผิดหวัง(อย่างแน่นอน),kun jà mâi pìt-wǎng (yàang-nɛ̂ɛ-nɔɔn),,You (surely) won’t be disappointed.,
เข้าท่า(ดี),kâo-tâa (dii) ,,Good idea! / Sounds good!,
เวลาเป็นเงิน(เป็นทอง),wee-laa bpen ngən (bpen-tɔɔng) ,,Time is money.,
ขอโทษเรื่องอะไร,kɔ̌ɔ-tôot rʉ̂ang à-rai ,,What are you sorry for?,
ขอโทษอะไรกัน,kɔ̌ɔ-tôot à-rai gan,,Sorry for what?!,
ทุกปัญหามีทางออก(เสมอ),túk bpan-hǎa mii taang-ɔ̀ɔk (sà-mə̌ə),SEMI-LITERARY,Every problem has a solution.,
ไม่ต้องพึ่งพาใคร,mâi-dtɔ̂ng pʉ̂ng-paa krai (,,You) don’t need to depend on anyone. / You can be independent.,
เขาเป็นคนบอกผมเอง,kǎo bpen kon bɔ̀ɔk pǒm eeng ,,He’s the one who told me. / He told me himself.,
เราสอบไม่ติด,rao sɔ̀ɔp mâi-dtìt,,I didn’t pass. / I didn’t pass the test.,
