thai,phonetic,register,definition,note
(หน้าตา)น่าเกลียดน่าชัง,(nâa-dtaa) nâa-glìat nâa-chang ,,He’s so cute! / She’s so adorable! (usually said of a baby)," Literally, this means the baby looks ugly and despicable. Traditionally, this was said to trick any bad spirits away from the baby."
เธอไม่มีวันยอม,təə mâi-mii-wan yɔɔm,,She’ll never let you. / She’ll never allow it.,
ได้รับความเสียหายอย่างหนัก,dâi-ráp kwaam-sǐa-hǎai yàang-nàk,SEMI-FORMAL,(It) was badly damaged.,
เราสามารถช่วยเหลือคุณได้,rao sǎa-mâat chûai-lʉ̌a kun dâi ,FORMAL,We can help/assist you.,
เธอออกไปรอข้างนอก(ก่อน),təə ɔ̀ɔk-bpai rɔɔ kâang-nɔ̂ɔk (gɔ̀ɔn) (,,You) go wait outside.,
ต้องทำให้ได้,dtɔ̂ng tam hâi-dâi,,I must do it! / You have to do it!,
คุณก็รู้อยู่แล้วนี่,kun gɔ̂ɔ rúu yùu lɛ́ɛo nîi ,,You know that (already)!,
ยุ่งจนไม่มีเวลาทำอะไร,yûng jon mâi mii wee-laa tam à-rai (,,I)’m so busy that I have no time for anything. / (I)’m so busy working that I have no time to do anything else.,
นักโทษแหกคุก,nák-tôot hɛ̀ɛk-kúk,,The prisoner escaped from jail. / The prisoners broke out of the prison.,
(…)จะได้ไม่เหงา (…),jà-dâi-mâi ngǎo (…) so you won,,’t get lonely. / (…) so she won’t be lonely.,
คิดซะว่าเป็น... / คิดเสียว่าเป็น,... kít sá wâa bpen... / kít sǐa wâa bpen...,,(Just) consider it… / (Just) think of it as…,
ฉันเคยได้ยินมาว่า,... chǎn kəəi dâi-yin maa wâa...,,I’ve heard before that… / I hear that…,
ที่แท้ก็,... tîi tɛ́ɛ gɔ̂ɔ...,,But in fact… / But actually…,
จงจำไว้ว่า,...  jong jam wái wâa...,LITERARY,Remember… / Keep in mind…,
เขาถูกจับเป็นเชลย,kǎo tùuk jàp bpen chà-ləəi ,,He was taken captive/prisoner.,
ทำอย่างนี้ไม่ได้,tam yàang-níi mâi-dâi ,,You can’t do this!,
ผมเองก็เช่นกัน,pǒm eeng gɔ̂ɔ chên-gan ,FORMAL,"And so am I. / And me likewise. / And I am, too.",
ไม่ต้องมาแก้ตัว,mâi-dtɔ̂ng maa gɛ̂ɛ-dtua ,,Don’t make excuses! / No excuses! / Don’t give me any excuses!,
(คุณ)จะไปรู้อะไร,(kun) jà bpai rúu à-rai ,INFORMAL/STRONG,What (the hell) do/would you know?! (implying the listener knows nothing),
เราไม่ถูกกัน,rao mâi tùuk-gan,,We don’t get along.,
