thai,phonetic,register,definition,note
ผม(ก็)ตกใจ,pǒm (gɔ̂ɔ) dtòk-jai ,,I was shocked. / I was startled.,
เขาไม่พอใจ,kǎo mâi-pɔɔ-jai,,He’s angry/upset/not satisfied with…,
ฉันรู้จักเขาดี,chǎn rúu-jàk kǎo dii,,I know him well. / I know her well.,
เสร็จแล้วหรือ,sèt lɛ́ɛo rʉ̌ʉ,,Are you finished? / Are you done?,
เสร็จแล้ว,sèt lɛ́ɛo,,I’m done. / It’s finished.,
ไม่ต้อง,mâi-dtɔ̂ng,,No (it’s not necessary). / No need.,
จริงๆ(นะ),jing-jing (ná) ,,Really! / It’s true!,
ยังไม่สุก,yang mâi sùk,,It’s not ripe (yet). / It’s not cooked.,
ฉัน(มัน)เลว,chǎn (man) leeo ,,I’m bad. / I’m so bad. / I’m no good., มัน (man) often means ‘it’ but here it’s used in a derogatory way to refer to oneself.
เป็นไปได้ว่า,... bpen-bpai-dâi wâa...,,It’s possible that… / There’s a possibility that…,
ออกมาสิ,ɔ̀ɔk-maa sì,,Come out.,
เขาออกมาแล้ว,kǎo ɔ̀ɔk-maa lɛ́ɛo,,He’s out. / He came out.,
เข้ามาข้างใน,kâo-maa kâang-nai,,Come inside.,
ดีๆ,dii-dii,,"Good, good. / Good. / That’s good.",
ตอนนี้ยัง(ค่ะ),dtɔɔn-níi yang (kà) ,,"Not yet. / No, not yet. / Right now—no.",
(ที่นี่)บ้านของใคร,(tîi-nîi) bâan kɔ̌ɔng krai ,,Whose house is this?,
จับไม่ได้,jàp mâi-dâi,,They can’t catch him. / You can’t catch me.,
ผมไม่ไปหรอก,pǒm mâi bpai rɔ̀ɔk,,I’m not going. / I’m not going to go. / I’m never gonna go (there).,
เหมือนมาก,mʉ̌an mâak,,Very similar! / It looks almost the same! / They look very similar!,
พอเถอะ,pɔɔ tə̀,,That’s enough. / That’s plenty.,
