thai,phonetic,register,definition,note
ลืมอะไรเหรอ,lʉʉm à-rai rə̌ə,,Did you forget something?,
ลืมบอก(ไป)ว่า,... lʉʉm bɔ̀ɔk (bpai) wâa...,,I forgot to tell you…,
ผมจะไม่มีวันลืม,pǒm jà mâi mii wan lʉʉm ,,I will never forget! / I’ll always remember!,
จริงเหรอ,jing rə̌ə,,Really?/ Seriously?,
นี่คุณเมาหรือเปล่า,nîi kun mao rʉ̌ʉ-bplàao,,Are you drunk?,
ไม่ไหวแล้ว,mâi-wǎi lɛ́ɛo,,I can’t take it anymore! / I can’t stand this anymore! / I can’t do this anymore!,
ใจเย็นๆ,jai yen-yen,,Relax. / Calm Down. / Take it easy.,
ทำไปได้ยังไง,tam bpai dâi yang-ngai,,How could you do that?!,
ผมคิดว่า,... (pǒm kít wâa...),,I think…,
ผมว่า,... (pǒm wâa...),,INFORMAL I think…,
มันไม่ง่าย,man mâi ngâai,,It’s not easy. / It won’t be easy.,
อย่าเข้ามานะ,yàa kâo maa ná,,Don’t come any closer. / Don’t come in here.,
ไปให้พ้น,bpai hâi pón,,Get lost. / Get out of here. / Go away!,
โกรธเหรอ,gròot rə̌ə,,Are you angry?,
จะพยายาม,jà pá-yaa-yaam,,I’ll try.,
ช่วยด้วย,chûai-dûai,,Help me! / Help!,
แน่ใจนะว่า,... (nɛ̂ɛ-jai ná wâa...),,Are you sure (that)…?,
ผมไม่รู้ / ผมไม่ทราบ,pǒm mâi rúu / pǒm mâi sâap,,I don’t know. [, ทราบ ( sâap) is more formal]
อย่ามอง,yàa mɔɔng,,Don’t look.,
ไม่เกี่ยวกับคุณ,mâi gìao gàp kun,,It’s none of your business. / It’s not about you. / It’s no concern of yours.,
