thai,phonetic,register,definition,note
ไม่เสียอะไร,mâi sǐa à-rai (,,You)’ve got nothing to lose. / (It) won’t cost you anything.,
รออะไรอีกล่ะ,rɔɔ à-rai ìik lâ ,STRONG,What are you waiting for?!,
ฉันได้คิดทบทวน,... chǎn dâi kít tóp-tuan...,,I’ve been thinking (about)… / I’ve spent some time thinking carefully (about)… //I’ve been doing some thinking…,
อย่าถือสา,... yàa tʉ̌ʉ-sǎa...,,Don’t mind (me)… / Don’t take offense… / Don’t take it personally… / Don’t hold it against (me)…,
อย่ามั่นหน้า,yàa mân-nâa,,Don’t be so sure of yourself!,
เป็นช่วงเวลาสั้นๆ,bpen chûang-wee-laa sân-sân ,SEMI-LITERARY,It was just a short period of time. / It’s only a short time.,
ยังไม่รู้เรื่อง,yang mâi-rúu-rʉ̂ang,,(We) don’t know (anything) yet. / (We) don’t know what happened yet.,
อะไรอีก(ล่ะ),à-rai ìik (lâ) ,,Now what?! / What is it now?! (showing frustration),
กินได้หมด,gin dâi mòt,,Anything is okay. / I can eat anything.,
กินคนเดียวไม่หมด,gin kon-diao mâi mòt (,,I) can’t finish it all by myself. / (I) can’t eat it all alone.,
เห็นเต็มสองตา,hěn dtem sɔ̌ɔng dtaa,,(I) saw it with my own two eyes! / I saw it clearly!,
หัวเราะอะไรกัน,hǔa-rɔ́ à-rai gan,,What are you laughing about?,
ก็ดีสิ,gɔ̂ɔ dii sì,,(Well/Oh) that’s good.,
ทำไมต้องบอก(คุณด้วย),tam-mai dtɔ̂ng bɔ̀ɔk (kun dûai) ,,Why do I have to tell you?! / Why should I tell you?!,
เป็นมิตรต่อสิ่งแวดล้อม,bpen-mít dtɔ̀ɔ sìng-wɛ̂ɛt-lɔ́ɔm ,,It’s environmentally friendly.,
ได้เงินเป็นกอบเป็นกำ,dâi-ngən bpen-gɔ̀ɔp-bpen-gam (,,He)’s raking in the bucks.,
ไม่ต้องทำขนาดนั้น(หรอก),mâi-dtɔ̂ng tam kà-nàat-nán (rɔ̀ɔk) ,,You don’t have to go that far. / You don’t have to do that.,
ยังพูดไม่จบ,yang pûut mâi-jòp,,I wasn’t finished yet! / I haven’t finished! / I’m not done (talking)!,
อยากจะพูดอะไรก็พูดไปเถอะ,yàak jà pûut à-rai gɔ̂ɔ pûut bpai tə̀,,"If you have something to say, just say it. / Go ahead—say what you wanna say.",
บอกตามตรง,... bɔ̀ɔk-dtaam-dtrong…,,To be honest… / Frankly… / Honestly… / To tell you the truth…,
