thai,phonetic,register,definition,note
ไร้สาระสิ้นดี,rái-sǎa-rá sîn-dii,,(That’s) totally ridiculous!,
ไม่รู้อะไรเลยหรือ,mâi-rúu à-rai ləəi rʉ̌ʉ,STRONG,Don’t you know anything?!,
ห้ามไม่ได้,hâam mâi-dâi,,You can’t stop me. / I can’t stop you.,
นอนหลับยาก,nɔɔn-làp yâak (,,I) have a hard time falling asleep. / I’m a light sleeper.,
เขามีความรู้มาก,kǎo mii kwaam-rúu mâak ,SEMI-FORMAL,He’s very knowledgable.,
ไม่เสียตังค์สักบาท,mâi sǐa dtang sàk bàat ,,It didn’t cost a baht! / It didn’t cost a thing!,
อะไรทำให้คุณคิดแบบนั้น,à-rai tam-hâi kun kít bɛ̀ɛp-nán ,,What makes you think that?,
เข้ามาทำอะไรใน(ห้องผม),kâo maa tam à-rai nai (hɔ̂ng pǒm) ,,What are you doing in (my room)?!,
แค่แวบเดียว,kɛ̂ɛ wɛ̂ɛp diao,,Just a glimpse/flash.,
อย่ากังวลเรื่อง... มากเกินไป,yàa gang-won rʉ̂ang... mâak-gəən-bpai ,,Don’t worry too/so much about…,
ฝากไปบอก(เขา)ว่า,... fàak bpai bɔ̀ɔk (kǎo) wâa...,,Tell (him/her) that...,
ออกไปรอข้างนอก,ɔ̀ɔk-bpai rɔɔ kâang-nɔ̂ɔk (,,Go) wait outside.,
ปล่อยวางเถอะ,bplɔ̀i-waang tə̀,,Let it go.,
ฉันเคยผิดหวังในความรัก,chǎn kəəi pìt-wǎng nai kwaam-rák,SEMI-LITERARY,I’ve been disappointed in love (before).,
สาบานกับตัวเอง(ไว้)ว่า,... sǎa-baan gàp dtua-eeng (wái) wâa...,,(I) promised myself (that)… / (I) swore to myself (that)...,
ฉันสงสัยมานานแล้ว(ว่า... ),chǎn sǒng-sǎi maa naan lɛ́ɛo (wâa...) ,,I’ve always wondered (…) / I’ve long suspected(…),
ไม่เข้าใจตรงไหน,mâi-kâo-jai dtrong-nǎi,,What part don’t you understand?,
อีกนานไหมกว่า(จะถึง),ìik naan mǎi gwàa (jà tʉ̌ng) ,,How much longer (till we get there)? / Will it be much longer (till we get there)?,
เกรงใจกันบ้าง,greeng-jai gan bâang,,Be considerate (of others).,
(จะ)อะไรกันหนักหนา,(jà) à-rai gan nàk-nǎa ,IDIOMATIC,What’s the big deal?! / What the heck?!,
