thai,phonetic,register,definition,note
ทะเลาะกันยกใหญ่,tá-lɔ́-gan yók-yài,,(They) had a huge fight.," ยกใหญ่ (yók-yài) means ‘so much’, ‘big time’, ‘a lot’, etc."
ถูกยิง(ใน)ระยะประชิด,tùuk ying (nai) rá-yá bprà-chít (,,He) was shot at close range. / (He) was shot point blank.,
ในช่วงปลายยุค (60),nai chûang bplaai yúk (hòk-sìp) in the late (60s),,,
ในช่วงต้นยุค (60),nai chûang dtôn yúk (hòk-sìp) in the early (60s),,,
เมื่อได้ยินดังนั้น,...  mʉ̂a dâi-yin dang-nán...,LITERARY,When (he) heard that/it… ; Upon hearing that/it…,
แต่ละคนต่าง,... dtɛ̀ɛ-lá-kon dtàang...,,Each person… / Every person… / Everyone… / Each of them…,
(…)เป็นความทรมานอย่างหนึ่ง (…),bpen kwaam-tɔɔ-rá-maan yàang-nʉ̀ng (…) it,,’s a kind of torture. (=really hard to go through),
มีปัญหาสุขภาพจิต,mii bpan-hǎa sùk-kà-pâap-jìt (,,Those) with/having mental health problems. / (She) has mental health problems.,
กวาดเรียบ(เลย),gwàat-rîap (ləəi) (,,"It) was completely cleaned out. / Nothing was left at all. (money stolen, damage done, etc.)",
ฉันได้รับการติดต่อจาก,...  chǎn dâi-ráp gaan-dtìt-dtɔ̀ɔ,SEMI-FORMAL,jàak.../I was contacted by…,
มีเหตุผลหลายอย่างที่,... mii hèet-pǒn lǎai-yàang tîi...,,I have many reasons (for…/to…/why…) / There are many reasons (for…/to…//why…),
ไสหัวไปให้พ้น,sǎi-hǔa-bpai-hâi-pón ,STRONG/ANGRY,Get the hell out of here! / Get the fuck away! / Fuck off!,
…ไม่งั้นคงตาย,...mâi-ngán kong dtaai,,…otherwise (he) probably would have died.,
(…)เขาคงดีใจมาก (…),kǎo kong dii-jai mâak (…)he,,’ll be really glad. / (…)she’d be very happy.,
(ทําไมไม่พูด)ตั้งแต่แรก,(tam-mai mâi pûut) dtâng-dtɛ̀ɛ-rɛ̂ɛk) (,,Why didn’t you tell me) in the first place?,
ใช้เฉพาะใน... (เท่านั้น),chái chà-pɔ́ nai... (tâo-nán) (,,It)’s used only in… / (It)’s used exclusively in…,
เหนือสิ่งอื่นใด,nʉ̌a-sìng-ʉ̀ʉn-dai ,LITERARY,Above all / Most of all / More than anything,
มันผิดศีล(ธรรม),man pìt-sǐin (lá-tam) ,,It’s immoral. / You’re breaking a moral precept. / It’s sinful.,
ค่อยๆคิดค่อยๆทำ,kɔ̂i-kɔ̂i kít kɔ̂i-kɔ̂i tam ,,Take it slowly. / Don’t rush into things. (Think about it carefully before doing it.),
มีอะไรไม่ชอบมาพากล,mii à-rai mâi-chɔ̂ɔp maa paa gon,,Something is fishy. / There’s something suspicious. / Something’s not right.,
