thai,phonetic,register,definition,note
ขอแสดงความยินดีด้วย,kɔ̌ɔ sà-dɛɛng kwaam-yin-dii dûai ,SEMI-FORMAL,Congratulations!,
ขอแสดงความยินดีกับคุณ,kɔ̌ɔ sà-dɛɛng kwaam-yin-dii gàp kun ,FORMAL,Allow me to congratulate you. / Congratulations to you.,
ไม่รู้จะตอบอะไร,mâi-rúu jà dtɔ̀ɔp à-rai ,,I don’t know how to answer.,
จะให้ผมตอบว่ายังไง,jà hâi pǒm dtɔ̀ɔp wâa yang-ngai ,,How do you want me to answer? / What do you want me to say?,
คนอื่นหายไปไหนกันหมด,kon-ʉ̀ʉn hǎai-bpai-nǎi gan mòt ,,Where did all the others go? / Where did everyone go?,
อยากบอกอะไรฉันไหม,yàak bɔ̀ɔk à-rai chǎn mǎi ,,Is there something you want to tell me?,
ฉันติดธุระ,chǎn dtìt tú-rá,,I’m in the middle of something. / I’m all tied up. / I’m busy (with something).,
(กระเทียม)มีกลิ่นฉุน,(grà-tiam) mii-glìn chǔn (,,Garlic) has a pungent odor. / (Garlic) has a strong smell.,
…ช่วยลดความเสี่ยงที่(จะเป็นโรคหัวใจ),...chûai lót kwaam-sìang tîi (jà bpen rôok-hǔa-jai),,…(it) helps reduce the risk of (heart disease). / …(it) reduces the risk of (heart disease).,
เจ็บจี๊ด,jèp jíit,INFORMAL,It hurts like hell! / That really hurts! (said of a sharp pain),
เราไม่น่าเจอกันเลย,rao mâi-nâa jəə-gan ləəi,,We should never have met!,
และที่สำคัญ,...  lɛ́ tîi sǎm-kan...,SEMI-FORMAL,And importantly… / And what’s important…,
(คนจีน)มีความเชื่อว่า,...  (kon-jiin) mii kwaam-chʉ̂a wâa...,FORMAL/LITERARY,(Chinese) believe that…,
อยากออกไปจากที่นี่(เร็วๆ),yàak ɔ̀ɔk-bpai-jàak tîi-nîi (reo-reo) (,,I) wanna get out of here (now)! / (I) want to get out of here (quickly)!,
มีเรื่องต้องจัดการ,mii rʉ̂ang dtɔ̂ng jàt-gaan ,,There’s something (I) have to do. / There are something things (I) have to take care of.,
คุณต่างหากล่ะ,kun dtàang-hàak lâ,,"It’s YOU! / YOU’RE the one! (who is scared, etc. not me!)",
ก็จริง,gɔ̂ɔ jing,INFORMAL,That’s true. / Right.,
ยอมรับความจริง,yɔɔm-ráp kwaam-jing,,Face the truth! / Admit the truth! / Accept the fact.,
ไม่มีผลเสีย,mâi-mii pǒn-sǐa,,There’s no damage (done). / There’s no disadvantage. / It won’t hurt us.,
เขาไม่เอาไหน,kǎo mâi-ao-nǎi ,STRONG,He’s useless! / He’s good for nothing! / He’s a loser!,
