thai,phonetic,register,definition,note
มีอะไรให้ช่วยมั้ย,mii à-rai hâi chûai mái ,INFORMAL,Can I help you?,
ขอบคุณ(มาก)ที่เลี้ยง(... ),kɔ̂ɔp-kun (mâak) tîi líang(…) ,,Thanks for treating me. / Thank you (very much) for…,
ไปทำอะไรมา,bpai tam à-rai maa,,What have you been doing? / What have you been up to? / What did you do? //What have you done?,
มันไม่ใช่แค่นั้น,man mâi-châi kɛ̂ɛ nán ,,That’s not all. / It’s more than that. / Not only that.,
(เขาก็)เหมือนคนในครอบครัว,(kǎo gɔ̂ɔ) mʉ̌an kon nai krɔ̂ɔp-kruai (,,He)’s like a member of the family. / (He)’s (just) like family.,
(คุณ)พูดถึงใคร,(kun) pûut-tʉ̌ng krai,,Who are you talking about?,
(อยู่)ไม่ไกลจากที่นี่,(yùu) mâi-glai jàak tîi-nîi (,,It)’s not far from from here.,
เปิดปากสิ,bpə̀ət-bpàak sì ,STRONG,Open up! / Open your mouth!,
มีนิสัยใจคออย่างไร,mii ní-sǎi-jai-kɔɔ yàang-rai ,SEMI-LITERARY/FORMAL,What’s his personality like? / What kind of temperament does he have?,
เดินไม่ตรง,dəən mâi-dtrong,,I can’t walk straight. / He doesn’t walk straight.,
เข้าไปไม่ได้,kâo-bpai mâi-dâi,,You can’t go in there. / I can’t get in.,
ฉันได้(หนังสือเล่มนี้)มาจาก,... chǎn dâi (nǎng-sʉ̌ʉ lêm-níi) maa jàak…,,You I got (this book) from…,
กินไม่ได้นอนไม่หลับ,gin mâi-dâi nɔɔn-mâi-làp ,,I can’t eat; I can’t sleep. / She couldn’t eat or sleep.,
คุณตัดสินใจหรือยัง,kun dtàt-sǐn-jai rʉ̌ʉ-yang ,,Have you decided yet? / Have you made up your mind?,
ไม่ต้องหรอก,mâi-dtɔ̂ng rɔ̀ɔk,,"No, I’m fine. / No, it’s fine. / No need. (No need to do anything.)",
อ่านเรียบร้อย,àan rîap-rɔ́ɔi,,I finished reading it. / I’m done reading it.,
เปิดมากกว่า(50 ปี)(แล้ว),bpə̀ət mâak-gwàa (hâa-sìp bpii) (lɛ́ɛo) (,,They’ve) been in business for over (50 years).,
เจอ(กัน)อีกแล้ว,jəə (gan) ìik-lɛ́ɛo ,,We meet again!,
อาจจะกลับดึก(หน่อย),àat-jà glàp dʉ̀k (nɔ̀i) (,,I) might be home (a bit) late.,
เมื่อคืนฝันถึงพี่,mʉ̂a-kʉʉn fǎn-tʉ̌ng (pîi) ,,I dreamt about you last night.,
