thai,phonetic,register,definition,note
แยกไม่ออก,yɛ̂ɛk-mâi-ɔ̀ɔk,,I can’t tell them apart. / I can’t see the difference (between them).,
แทบไม่เชื่อสายตา,tɛ̂ɛp mâi-chʉ̂a sǎai-dtaa,,I could hardly believe my eyes!,
ยินดีช่วยเหลือ,yin-dii chûai-lʉ̌a,,Happy to help. / Glad to be of assistance.,
จะอยู่ได้ยังไงถ้าไม่มีเขา,jà yùu dâi yang-ngai tâa mâi mii kǎo,,How will I live/survive without him?,
ช่วยเซ็น(ชื่อ)ตรงนี้หน่อย(ครับ/ค่ะ),chûai sen (chʉ̂ʉ) dtrong-níi nɔ̀i (kráp/kà),,Please sign here.,
พอกันที,pɔɔ-gan tii,,(That’s) enough! / I’ve had enough!,
น่าสมเพชจริงๆ,nâa-sǒm-pêet jing-jing,SEMI-LITERARY,How pathetic! / How pitiful!,
ไม่เป็นอะไรหรอก,mâi bpen-à-rai rɔ̀ɔk,,She’ll be okay. / Nothing’s going to happen to her. / It’ll be alright.,
เหมือนเป็นคนละคนเลย,mʉ̌an bpen kon-lá kon ləəi,,She’s like a completely different person.,
ในสายตาผม,... (nai sǎai-dtaa pǒm…),,In my eyes… / From my point of view… / To me… / (You don’t look…) to me.,
หากต้องการข้อมูลเพิ่มเติม,...  (hàak dtɔ̂ng-gaan kɔ̂ɔ-muun pə̂əm-dtəəm…),FORMAL,For more information… / If you need further information…,
ผมก็ไม่ว่า(อะไร),pǒm gɔ̂ɔ mâi-wâa (à-rai) ,,It’s fine with me. / Feel free. / I don’t mind. (if you do it),
ทีแรกคิดว่า,... (tii-rɛ̂ɛk kít-wâa…),,At first I thought…,
คงไม่หรอก,kong mâi rɔ̀ɔk,,It’s not likely. / I don’t think so. / Probably not.,
ไม่ใช่เรื่องบังเอิญ,mâi-châi rʉ̂ang bang-əən,,It’s not a coincidence. / It’s not just by chance.,
ถ้ายังงั้น,... (tâa yang-ngán…),,In that case… / So… / Well then…,
ทุกอย่างเปลี่ยนไป,túk-yàang bplìan bpai,,Everything has changed. / Everything is different. / Everything changes.,
มันทำใจลำบาก,man tam-jai lam-bàak,,"It’s really hard! / This is really hard on me! (breaking up with someone, etc.)",
คุณทำเพื่ออะไร,kun tam pʉ̂a-à-rai,,What did you do it for? / Why did you do it?, เพื่ออะไร (pʉ̂a-à-rai) means ‘for what reason’ or ‘why’.
จำ(เขา)ได้ไหม,jam (kǎo) dâi mǎi,,Do you remember (him)?,
