thai,phonetic,register,definition,note
เอาเข้าจริง,...  (ao-kâo-jing…),IDIOM,When it comes down to it… / In actual practice…/ When you really do/try it…//Really… / Actually…,
อย่ามาแตะต้องตัวฉัน,yàa maa dtɛ̀-dtɔ̂ng dtua chǎn,,Don’t touch me! / Keep your hands off me! / Don’t Fxxxing touch me!, this is quite strong and derogatory.
(เรา)มีอะไรหลายๆอย่างเหมือนกัน,rao) mii à-rai lǎai-lǎai yàang mʉ̌an-gan,,(We) have a lot in common.,
นี่อาจจะเป็นครั้งสุดท้าย(ที่),... nîi àat-jà bpen kráng-sùt-táai (tîi)...,,This might be the last time (that)…,
อย่างน้อยก็,... (yàang-nɔ́ɔi gɔ̂ɔ...),,"(Well,) at least…",
ต้องไปแล้วจริงๆ,dtɔ̂ng bpai lɛ́ɛo jing-jing,,I really got to go. / I really need to leave.,
อยู่ต่อไม่ได้เหรอ(คะ),yùu dtɔ̀ɔ mâi-dâi rə̌ə (ká),,Can’t you stay longer?,
ผมถูกกำหนดมา,... (pǒm tùuk gam-nòt maa...),,I was destined to…,
ไม่ดีเท่าที่ควร,mâi-dii tâo-tîi kuan,,Not as good as it should be.,
เรารู้จักกันตั้งแต่สมัยเรียน,rao rúu-jàk-gan dtâng-dtɛ̀ɛ sà-mǎi rian,,We’ve known each other since high school/college (etc.),
ขอแนะนำว่า,... (kɔ̌ɔ nɛ́-nam wâa...),,I suggest (that)… / I recommend (that)…,
ผมก็รู้สึกเช่นนั้น,pǒm gɔ̂ɔ rúu-sʉ̀k chên-nán,FORMAL,I feel the same way. / The feeling is mutual.,
(มัน)มีผลต่อ,... (man) mii-pǒn-dtɔ̀ɔ...,,(It) affects/has an effect on…,
(น่ารัก)อะไรอย่างนี้,(nâa-rák) à-rai yàang-níi ,,How (cute) you are! / What a (cute)…!,
พูดไม่ถูก,pûut mâi-tùuk,,(I) don’t know what to say. (at a loss for words) OR (I) didn’t say it correctly.,
คิดไม่ออก,kít mâi-ɔ̀ɔk,,(I) have no idea. / (I) can’t think of it (right now).,
ป้องกันไม่ให้ (เกิดขึ้นอีก),bpɔ̂ng-gan mâi-hâi (gə̀ət-kʉ̂n ìik) ,,Stop/prevent (it from happening again).,
ตลกสิ้นดี,dtà-lòk sîn-dii,,That’s ridiculous! / That’s laughable! / What a joke!, this is a strong expression.
(ผม)ตาสว่าง,(pǒm) dtaa-sà-wàang ,LITERARY,My eyes were opened. / I saw the light.,
นี่คือสาเหตุที่,...  (nîi kʉʉ sǎa-hèet tîi...),SEMI-LITERARY,That’s (the reason) why…,
