thai,phonetic,register,definition,note
คุณทำอาหารเก่ง,kun tam-aa-hǎan gèng,,You’re a good cook!,
ฉันรู้สึกแย่มาก(เลย)(... ),chǎn rúu-sʉ̀k yɛ̂ɛ mâak (ləəi)(...) ,,I feel really bad(…) / I feel terrible about…,
ฉันรู้สึกอึดอัด(มาก),chǎn rúu-sʉ̀k ʉ̀t-àt (mâak) ,,I feel (very) awkward/uncomfortable.,
เหมาะกับคุณมาก,mɔ̀-gàp kun mâak,,It suits you well. / It looks great on you.,
ทิ้งไปแล้ว,tíng bpai lɛ́ɛo,,(I) threw it away.,
ไม่เก็ท,mâi gèt,INFORMAL/SLANG,(I) don’t get it. / (I) don’t understand.,
หายตัวไปแล้ว,hǎai dtua bpai lɛ́ɛo,,She’s disappeared! / He just vanished! / She went missing.,
ต้องใจเย็น ๆ,dtɔ̂ng jai yen-yen,,You have to calm down. / You have to relax. (Don’t get so worked up.),
คุณไม่ยอมฟังผม,kun mâi-yɔɔm fang pǒm,,You wouldn’t listen to me. / You’re not listening to me.,
จะติดต่อได้ยังไง(คะ),jà dtìt-dtɔ̀ɔ dâi yang ngai (ká) ,,How can I contact you? / How will I be able to contact you?,
ไปทำงานได้แล้ว,bpai tam-ngaan dâi lɛ́ɛo,,(You’d better) get to work. / Time to get to work.,
เดี๋ยว(จะ)สาย,dǐao (jà) sǎai ,,"You’ll be late. / Careful, or you’ll be late.",
ไม่กี่วันเอง,mâi-gìi wan eeng,,Only a couple of days / Only a few days,
เก็บ(เอา)ไว้ทำไม,gèp (ao) wái tam-mai ,,Why are you saving/keeping (it/them)?,
ผมทำให้,pǒm tam-hâi,,I’ll do that (for you). / I’ll get that (for you).,
มันเป็นโอกาสที่ดี,man bpen oo-gàat tîi dii ,,It’s a good opportunity. / It was a good chance.,
แค่นั้นก็พอแล้ว,kɛ̂ɛ nán gɔ̂ɔ pɔɔ lɛ́ɛo,,That’s enough. / That would be enough. / That’s plenty.,
ฉันไม่แพ้ใคร,chǎn mâi-pɛ́ɛ krai,,I don’t lose to anyone! / No one beats me! / I’m number one!,
เดินไม่ไหว,dəən mâi-wǎi,,I can’t walk (anymore)! / I can’t even walk!,
ค่อยยังชั่ว(หน่อย),kɔ̂i yang chûa (nɔ̀i) ,,I feel a bit better. / That’s a relief.," This expression is very idiomatic, so don’t spend too much time trying to break down the meaning."
