thai,phonetic,register,definition,note
(น้อย)อยู่ไหน,(nɔ́ɔi) yùu nǎi,,Where’s (Noi )?,
เธอโสด,təə sòot,,She’s single.,
เธอเป็นแฟนคนแรก(ของผม),təə bpen fɛɛn kon-rɛ̂ɛk (kɔ̌ɔng pǒm) ,,She was my first girlfriend.,
เธอเป็นคนขี้อาย(มาก),təə bpen kon kîi-aai (mâak) ,,She’s (really) shy.,
เธอก็เลย,... (təə gɔ̂ɔ ləəi...),,So you/she…,
นั่นอะไร(ครับ),nân à-rai (kráp),,What’s that?,
ฉันกลัวผีอ่ะ,chǎn glua pǐi (à),,I’m afraid of ghosts.," อ่ะ (à) is an informal, shortened form of ล่ะ (là)."
ผมไม่กลัวผี(หรอก),pǒm mâi glua pǐi (rɔ̀ɔk) ,,I’m not afraid of ghosts (at all).,
ฉัน(ก็)ไม่คิดว่า,... chǎn (gɔ̂ɔ) mâi kít wâa...,,I didn’t think (that)… / I don’t think (that)…,
มันมากเกินไป,man mâak-gəən-bpai,,That’s/It’s too much.,
จำไม่ได้,jam mâi-dâi,,I can’t remember.,
ผมเห็นกับตา,pǒm hěn-gàp-dtaa,,I saw it myself. / I saw it with my own eyes.,
ยังไม่เคยไป(…),yang mâi-kəəi bpai (...) ,,I’ve never been there. / I haven’t been to… yet.,
ไม่น่าเชื่อ (ว่า…),mâi-nâa-chʉ̂a (wâa...),,Unbelievable! / Incredible! / It’s hard to believe…,
จะไปไหนกันดี,jà bpai-nǎi gan dii,,Where should we go? / Where do you wanna go?,
ผม(ก็)ตัดสินใจแล้ว,pǒm (gɔ̂ɔ) dtàt-sǐn-jai lɛ́ɛo ,,I’ve decided. / I’ve made up my mind.,
พูดจริงเหรอ,pûut jing rə̌ə,,Are you serious? (about what you are saying/what you told me),
(โอเค)… คุณชนะ,(oo-kee)... kun chá-ná (,,"Okay)…You win. (I lose; I was wrong, etc.)",
(ผม)จะโทรไป(หา),(pǒm) jà too-bpai (hǎa) ,,I’ll call you.,
ตอนนี้เลย,dtɔɔn-níi ləəi,,Right now. / Now!,
