thai,phonetic,register,definition,note
คุณเป็นคนที่ไหน,kun bpen kon tîi-nǎi,,Whereabouts are you from? / Where are you from?,
ผมเป็นคน(ขอนแก่น),pǒm bpen kon (kɔ̌n-gɛ̀n),,I’m from (Khon Kaen).,
ขำอะไร,kǎm à-rai,,What are you laughing at?,
(ลูก)ทำดีที่สุดแล้ว,(lûuk) tam dii-tîi-sùt lɛ́ɛo (,,You) did your best. (as spoken by a parent to his/her child),
เข้ามาก่อน,kâo maa gɔ̀ɔn,,Come on in!,
ไปด้วยกันไหม,bpai dûai-gan mǎi,,Wanna go along? / Do you wanna go with me? / Do you want to join me?,
เห็นหมดแล้ว,hěn mòt lɛ́ɛo,,(I) saw everything! / (I) saw it all!,
(จะ)เอาสีอะไรดี,(jà) ao sǐi à-rai dii ,,What color do you want? / Which color would you like?,
กลับมาก่อนสิ,glàp maa gɔ̀ɔn sì,,Come back (here).,
ผมมีความสุขดี,pǒm mii-kwaam-sùk dii,,"I’m doing (really) well. / I’m really happy. (usually said about how one’s doing in life, in a situation or in a relationship)",
เรื่องกล้วยๆ,rʉ̂ang glûai-glûai,,(It’s a) piece of cake! / It’s very simple!,
ใกล้เสร็จหรือยัง,glâi sèt rʉ̌ʉ-yang,,Are (you) almost finished?,
(หมด)ทั้งหัวใจ,(mòt) táng hǔa-jai ,,With all my heart.,
…ทุกครั้งที่เห็น,... ...túk-kráng tîi hěn...,,…every time (I) see… / …whenever (I) see…,
จะรู้ได้ยังไงว่า,... jà rúu dâi yang-ngai wâa...,,How will we know…? / How do I know…?,
ไม่ว่าคุณเป็นใคร,... mâi-wâa kun bpen krai...,,No matter who you are…,
สเปคเลย,sà-bpèk ləəi,,She’s just my type! / He’s exactly my type!, สเปค (sà-bpèk) is also spelled as สเป็ค (sà-bpék).
ค่าเช่าเดือนละเท่าไหร่,kâa-châo dʉan-lá tâo-rài ,,How much is the rent (per month)?,
เอาอะไรอีกไหม,ao à-rai ìik mǎi ,INFORMAL,Do you want anything else? / Anything else?,
งานยุ่งมาก,ngaan yûng mâak,,(I)’m really busy with work. / (I)’ve been swamped at work. / (I’ve) been really busy.,
