thai,phonetic,register,definition,note
ทำไม,tam-mai,,Why? / How come?,
มันคืออะไร,man kʉʉ à-rai,,What is it?,
ฉันรู้,chǎn rúu,,I know.,
ดูนี่สิ,duu nîi sì,,Look at this. / Look here.,
พร้อมแล้ว,prɔ́ɔm lɛ́ɛo (,,I)’m (all) ready. / (I)’m prepared.,
ยังไม่พร้อม,yang mâi prɔ́ɔm,,(I)’m not ready (yet).,
อย่าหยุด,yàa yùt,,Don’t stop.,
ยังไม่อิ่ม,yang mâi ìm,,(I)’m not full (yet).,
ปล่อย(นะ),bplɔ̀i (ná),,Let go!,
เอาอันนี้(นะครับ),ao an-níi (ná kráp) ,,"I’ll take this/that one. (shopping, etc.)",
เหมือนฉันเลย,mʉ̌an chǎn ləəi,,Just like me! / Same as me!,
โทรมาทำไม,too maa tam-mai,,Why did you call me? / Why is he calling me? / Why are you calling?,
ยังไม่มา,yang mâi maa,,He’s not here yet. / They haven’t arrived yet. / It hasn’t come yet.,
ฉันอยู่ในห้อง (751),chǎn yùu nai hɔ̂ng (jèt-hâa-nʉ̀ng) ,,I’m in room (751).,
(แล้ว)เจอกัน(นะ),(lɛ́ɛo) jəə-gan (ná) ,,See ya.,
ผมจะคิดถึงคุณ,pǒm jà kít-tʉ̌ng kun,,I’m gonna miss you.,
ฉันลืมไป,chǎn lʉʉm bpai,,I forgot.,
ฉันลืมไปเลย,chǎn lʉʉm bpai ləəi,,I completely forgot! / I totally forgot about it!,
จำ… ได้ไหม,jam… dâi mǎi,,Do you remember…?,
จำได้,jam dâi,,"Yes, I do. (remember) / Yeah, I remember.",
