thai,phonetic,register,definition,note
ขอคิด(ดู)ก่อน(นะ),kɔ̌ɔ kít (duu) gɔ̀ɔn (ná) ,,Let me think about it. / Let’s see… / I’ll think about it.,
ไม่ต้องคิดมาก,mâi-dtɔ̂ng kít-mâak,,"Just relax, (don’t worry about it.) / Don’t worry. / Don’t think about it too much.",
มันไม่ดีต่อสุขภาพ(ค่ะ),man mâi-dii dtɔ̀ɔ sùk-kà-pâap (kà) ,,It’s not good for you. / It’s not healthy.,
ตอนนี้(หนู)ดีขึ้นแล้ว,dtɔɔn-níi (nǔu) dii-kʉ̂n lɛ́ɛo (,,I)’m all better now. / (I)’m feeling better now.,
ปล่อยเขาไป,bplɔ̀i kǎo bpai,,Let him go. / Let her go.,
ไม่มีหวัง,mâi-mii wǎng,,It’s hopeless. / There’s no hope.,
สิ่งสำคัญที่สุด(คือ... ),sìng sǎm-kan tîi-sùt (kʉʉ...) ,,The most important thing (is…),
ได้ข่าวมาว่า,... dâi-kàao maa wâa...,,I heard (that)… / I got word (that)…,
ฉัน(ก็)เพิ่งรู้เรื่อง,chǎn (gɔ̂ɔ) pə̂ng rúu-rʉ̂ang ,,I just found out. / I just heard.,
ฉันจะไม่บอกใคร,chǎn jà mâi bɔ̀ɔk krai ,,I won’t tell anyone.,
ยังไม่ได้ดู(เลย),yang mâi-dâi duu (ləəi) ,,You haven’t even looked (at it) yet. / I haven’t (even) looked yet.,
ฉันจะพาคุณไป(ห้องพัก),chǎn jà paa kun bpai (hɔ̂ng-pák) ,,I’ll show/take you to (your room).,
คาดเข็มขัดด้วยค่ะ,kâat kěm-kàt dûai kà ,,Please fasten your seatbelt.,
คุณถูกจับแล้ว,kun tùuk jàp lɛ́ɛo,,You’re under arrest.,
อยากอ้วก,yàak ûak,,(I) want to throw up.,
ไม่ได้โกง,mâi-dâi goong,,I didn’t cheat.,
ฉลาดมาก,chà-làat mâak,,(You)’re very clever/smart.,
เคยมาแล้ว,kəəi maa lɛ́ɛo,,I’ve been here before.,
เดี๋ยว(ผม)โทรกลับ(นะครับ),dǐao (pǒm) too-glàp (ná-kráp) ,,I’ll call you right back.,
เราต้องไปเดี๋ยวนี้,rao dtɔ̂ng bpai dǐao-níi ,,We have to go now! / We gotta go right now!,
