thai,phonetic,register,definition,note
ตรงเวลาเป๊ะเลย,dtrong-wee-laa bpé ləəi ,,Right on time! / Just in time!,
มันไม่ใช่เรื่องง่ายๆ,man mâi-châi rʉ̂ang ngâai-ngâai ,,It’s not a simple matter. / It’s not (so) easy.,
ไม่เกินไปหน่อยหรอ,mâi gəən-bpai nɔ̀i rə̌ə,STRONG,It’s it a bit too much? / Isn’t that going too far? / Isn’t that overkill? / Isn’t that a bit extreme?,
ต้องมีอะไรบ้าง,dtɔ̂ng mii à-rai bâang,,There has to be something. / There’s gotta be something.,
ผมจะอยู่เคียงข้างคุณ,pǒm jà yùu kiang-kâang kun,,I’ll be by your side. / I’ll be with you.,
เลิกยุ่งกับฉัน(ซะที)(เถอะ),lə̂ək yûng-gàp chǎn (sá-tii) (tə̀) ,STRONG,Leave me alone! / Stop messing with me! / Stop bugging me!," ซะที (sá-tii) is a casual version of เสียที (sǐa-tii), which is a particle urging that one wants something to happen soon or finally."
เขาออกจากโรงพยาบาลแล้ว,kǎo ɔ̀ɔk-jàak roong-pá-yaa-baan lɛ́ɛo ,,She got out of the hospital. / She left the hospital. / She was discharged.,
ไม่ว่าเกิดอะไรขึ้น(ก็ตาม),... mâi-wâa gə̀ət à-rai kʉ̂n (gɔ̂ɔ-dtaam)...,,No matter what happens… / Whatever happens…,
ต้องดูก่อน(ว่า... ),dtɔ̂ng duu gɔ̀ɔn (wâa)...,,We’ll have to see(…) / We’ll see(…),
…กลับมาเหมือนเดิม,...glàp-maa mʉ̌an-dəəm,,…back to normal. / …back to as before. / …the same as (it) used to be.,
อีกอย่างหนึ่ง,... ìik yàang nʉ̀ng...,,And another thing… / Besides…,
ลึกๆในใจ,... lʉ́k-lʉ́k nai jai...,,Deep down… / Deep inside my heart…,
ต้องทำตามสัญญา,dtɔ̂ng tam-dtaam sǎn-yaa (,,You) must keep your promise. / (I) have to keep my promise.,
เหมือนเคยเจอที่ไหนมาก่อน,mʉ̌an kəəi jəə tǐi-nǎi maa-gɔ̀ɔn ,,It’s like I’ve seen (him) somewhere before.,
(การผ่าตัด)เป็นไปด้วยดี,(gaan-pàa-dtàt) bpen-bpai dûai-dii (,,The operation) went well/smoothly.,
ตลกตายล่ะ,dtà-lòk dtaai (lâ) ,SARCASTIC,Very funny. (meaning it’s not really funny),
ไม่มีวันเป็นไปได้,mâi-mii-wan bpen-bpai-dâi (,,It) will never happen. / (It) will never work.,
ยอมไม่ได้แน่ๆ,yɔɔm mâi-dâi nɛ̂ɛ-nɛ̂ɛ,,(I) can’t let that happen! / (I) can’t let you do that! / (I) can’t allow that!,
พูดไปเรื่อย,pûut bpai rʉ̂ai,,(You)’re rambling. / (You)’re talking aimlessly.,
ฉันไม่ว่า(อะไร),chǎn mâi wâa (à-rai),,It didn’t bother me. / It was fine with me. / I was cool with it. / I didn’t mind./(=I didn’t say anything because it was fine with me.),
