thai,phonetic,register,definition,note
พวกเขาไม่มีอะไรเหมือนกันเลย,pûak-kǎo mâi-mii-à-rai mʉ̌an-gan ləəi ,,They have nothing (at all) in common.,
ฉันทำเงินได้จำนวนมาก,chǎn tam-ngən dâi jam-nuan mâak ,,I made a lot of money!,
ต้องมีวิธีอื่น,dtɔ̂ng mii wí-tii ʉ̀ʉn,,There must be another way.,
ต้องจับมันให้ได้,dtɔ̂ng jàp man hâi-dâi (,,We)’ve got to get him! / (I)’ve gotta arrest her!,
ไม่เคยเป็นแบบนี้มาก่อน,mâi-kəəi bpen bɛ̀ɛp-níi maa-gɔ̀ɔn,,(He)’s never (acted) like this before. / (It) didn’t used to be that way. //(It)’s never been like that before.,
อย่าเรียกฉันว่า(ที่รัก),yàa rîak chǎn wâa (tîi-rák) ,,Don’t call me (darling/baby/honey).,
ลองไปถามเขาดู,lɔɔng bpai tǎam kǎo duu,,Try asking him. / Try and ask him. / Go ask him.,
ไม่เข้าใจอยู่ดี,mâi-kâo-jai yùu-dii,,(I) still don’t get it. / (I) still don’t understand.,
ถ้าสังเกตให้ดี,... tâa sǎng-gèet hâi-dii…,,If (you) look at (it) carefully... / If (you) examine (them) carefully… //If (you) observe carefully...,
(มัน)ยากที่จะเดาได้(ว่า... ),(man) yâak tîi-jà dao dâi (wâa...) ,,It’s difficult to guess (…),
ถ้าฟังไม่ผิด,... tâa fang mâi-pìt…,,If I didn't hear (you) wrong… / If I didn’t misunderstand…,
ขอบคุณสำหรับกำลังใจนะคะ,kɔ̀ɔp-kun sǎm-ràp gam-lang-jai ná-ká ,,Thank you for your encouragement/support.,
ยินดีบริการครับ,yin-dii bɔɔ-rí-gaan kráp (,FORMAL,We)’re happy to serve you. / (I)’m pleased to serve you.,
ลืมตาได้แล้ว,lʉʉm-dtaa dâi lɛ́ɛo,,You can open your eyes (now).,
ขอบคุณท่านมากครับ,kɔ̀ɔp-kun tân mâak kráp ,FORMAL,"Thank you very much. (as said to someone with a higher rank/status such as a monk, etc.)",
ลงมือได้เลย,long-mʉʉ dâi ləəi,,Do it. / Just do it. / Go ahead and do it.,
(มัน)ไม่สมบูรณ์,(man) mâi sǒm-buun (,,It)’s incomplete. / (It)’s imperfect.,
มันมากเกินพอแล้ว,man mâak-gəən pɔɔ-lɛ́ɛo ,,It’s more than enough. / That’s more than sufficient.,
ไม่รู้เรื่องนี้เลย,mâi-rúu-rʉ̂ang níi ləəi,,(I) don’t know anything about it. / (I) didn’t know anything/about that at all.,
มาดูเองดีกว่า,maa duu eeng dii-gwàa,,(It’s better if you) come and have a look for yourself.,
