thai,phonetic,register,definition,note
(แฟน)ขี้หึงมาก,(fɛɛn) kîi-hʉ̌ng mâak (,,My girlfriend)’s really jealous/the jealous type.,
อยากกินอะไร(คะ),yàak gin à-rai (ká) ,,What do you wanna eat? / What would you like to eat?,
ให้ผมช่วยไหมครับ,hâi pǒm chûai mǎi kráp ,,Do you need some help? / Do you want me to help you?,
ใครสอน(คุณเต้น),krai sɔ̌ɔn (kun dtên) ,,Who taught you (how to dance)?,
ยังไม่ได้กินข้าวเลย,yang mâi-dâi gin-kâao ləəi ,,I haven’t eaten anything yet. / I haven’t had anything to eat at all.,
ผมไม่มีรายได้,pǒm mâi mii raai-dâai,,I have no income.,
เขาตกงาน,kǎo dtòk-ngaan ,,He lost his job. / She’s unemployed. / She’s out of work.,
ผมไม่กลัวใคร(เลย),pǒm mâi glua krai (ləəi) ,,I’m not afraid of anyone!,
ขอดูรูปหน่อยได้ไหม(ครับ),kɔ̌ɔ duu rûup nɔ̀i dâi-mǎi (kráp) ,,Can I see a picture (of her/it)?,
ฉันจำได้แค่ว่า,... chǎn jam-dâi kɛ̂ɛ wâa...,,I only remember… / The only thing I remember is…,
(…)พอรึยัง/(…)พอหรือยัง (...),pɔɔ rʉ́-yang / (...) pɔɔ rʉ̌ʉ-yang ,,Is it enough? / Do we have enough yet? / …enough?,
ขอถาม(คุณ)หน่อยได้ไหม(คะ),kɔ̌ɔ tǎam (kun) nɔ̀i dâi-mǎi (ká) ,FORMAL,May I ask you (a question)? / May I ask you something? / Do you mind if I ask you something?,
ผมไม่ได้ฝันไป,pǒm mâi-dâi fǎn bpai,,I wasn’t dreaming. / It wasn’t a dream. / I wasn’t imagining things.,
จะไปยังไง,jà bpai yang-ngai,,How are you gonna get there? / How are you going?,
(ดู)เหมือนฝนจะตก,(duu) mʉ̌an fǒn jà dtòk ,,Looks like it’s gonna rain.,
ฉันทำเองได้(ค่ะ),chǎn tam eeng dâi (kà) ,,I can do it myself. / I got it. / I can handle it.,
วันนี้เป็นวันพระ,wan-níi bpen wan-prá,,Today’s a Buddhist holy day.,
คุณดูหน้าซีด,kun duu nâa-sîit,,You look pale.,
คิดถึงเสมอ,kít-tʉ̌ng sà-mə̌ə,,Miss you always. / I always miss him. / I always miss this place.,
จอดตรงนี้,jɔ̀ɔt dtrong-níi,,Pull over here. / Stop right here.,
