thai,phonetic,register,definition,note
เวลาผ่านไปไวเหมือนโกหก,wee-laa pàan bpai wai mʉ̌an goo-hòk ,IDIOM,Time flies! / Time goes by quickly.,
และแล้ววันนั้นก็มาถึง,lɛ́-lɛ́ɛo wan-nán gɔ̂ɔ maa-tʉ̌ng ,,The day finally arrived. / That day finally came.,
กรรมตามสนอง,gam dtaam sà-nɔ̌ɔng ,IDIOM,You reap what you sow. / Karma will get you in the end. / He will get what he deserves. / It’s karmic retribution.,
กาลครั้งหนึ่งนานมาแล้ว,...  gaa-lá-kráng-nʉ̀ng-naan-maa-lɛ́ɛo ,LITERARY,Once upon a time...,
อีก(คำ)หนึ่งที่น่าสนใจก็คือ,... ìik (kam) nʉ̀ng tîi nâa-sǒn-jai gɔ̂ɔ kʉʉ...,,Another interesting (word) is…,
ทุกอย่างก็ผ่านมาได้ด้วยดี,túk-yàang gɔ̂ɔ pàan maa dâi dûai dii ,,Everything turned out well. / (We) made it through everything just fine.,
ไม่ว่าจะเป็น,... mâi-wâa jà bpen...,,Whether (it be)…,
เตรียมรับมือไว้,dtriam ráp-mʉʉ wái,,Be prepared (for…) / Get ready (for…),
…หลักๆก็คือ,...  ...làk-làk gɔ̂ɔ kʉʉ...,FORMAL/LITERARY,Essentially… / Basically… / Mainly…,
ต้องมีอะไรปิดบังแน่ๆ,dtɔ̂ng mii à-rai bpìt-bang nɛ̂ɛ-nɛ̂ɛ,,They must be hiding something! / He must be covering something up!,
(รู้จักเขา)มากน้อยแค่ไหน,(rúu-jàk kǎo) mâak-nɔ́ɔi-kɛ̂ɛ-nǎi ,,How well (do you know him)? / How much (...)?,
ไม่มีหลักฐานแน่ชัด(... ),mâi-mii làk-tǎan nɛ̂ɛ-chát (...) ,,There’s no clear evidence (…),
) กับ,(,,Its (It’s) ใช้ไม่เหมือนกัน (Its) gàp (It’s) chái mâi-mʉ̌an-gan (Its) and (It’s) are used differently.,
…เป็นผลเสียต่อร่างกาย,...bpen pǒn-sǐa dtɔ̀ɔ râang-gaai (,SEMI-FORMAL,It)’s harmful to your body.,
เธอชอบแต่งตัวโป๊,təə chɔ̂ɔp dtɛ̀ng-dtua bpóo ,,She dresses a bit too sexily. / She dresses like a slut.,
ผมท้องไส้ปั่นป่วน,pǒm tɔ́ɔng-sâi-bpàn-bpùan ,,I have an upset stomach. / My stomach is very upset. / I have butterflies in my stomach.,
(ฟุตบอล)เป็นชีวิตจิตใจ,(fút-bɔn) bpen chii-wít jìt-jai,LITERARY/FANCY/IDIOM,(Football) is my passion! / I’m crazy about (football)! / (Football) is the joy of my life! / (Football) is who I am!,
ทายสิใครเอ่ย,taai sì krai ə̀əi,,Guess who?! / Who is it?! (used as guessing game),
เป็นสิ่งที่เราขาดไม่ได้,bpen sìng tîi rao kàat-mâi-dâi (,,It)’s something that we can’t do without. / (It)’s something that’s indispensible for us.,
ไม่ต้องอ้อมค้อม,mâi-dtɔ̂ng ɔ̂ɔm-kɔ́ɔm ,,Don’t beat around the bush!,
