thai,phonetic,register,definition,note
เงียบปาก,ngîap bpàak,,Shut your mouth! / Shut (the xxx) up! / Zip it!,
เอาเถอะน่า,ao tə̀ nâa,,"Come on! / Oh, come on!",
(ต้อง)ตั้งสติ,(dtɔ̂ng) dtâng-sà-dtì (,,You have to) calm down. / (You need to) stay focused. / (You have to) compose yourself. / Get a grip!,
เหลือเวลาแค่(3 อาทิตย์),lʉ̌a wee-laa kɛ̂ɛ (sǎam aa-tít) (,,We) only have (3 weeks) left. / (There’s) only (3 weeks) left.,
เลือกเอาเอง(นะ),lʉ̂ak ao eeng (ná) ,,The choice is yours. / It’s your choice. / You choose.,
ต้องไปจากที่นี่,dtɔ̂ng bpai jàak tîi-nîi ,,We gotta get out of here. / I have to leave. / She has to go away.,
คุณทำแบบนี้กับฉันได้ยังไง,kun tam bɛ̀ɛp-níi gàp chǎn dâi yang-ngai ,,How can/could you do this to me?!,
เป็นแบบนี้แหละ,bpen bɛ̀ɛp-níi lɛ̀,,That’s how (I) am! / That’s how (it) is!,
(…) สองสามวันมานี้ (... ) (…),sɔ̌ɔng sǎam wan maa níi (…) ,,The last few days… / …for the last few days.,
(…) โดยที่ไม่คิด (…) (…),dooi-tîi mâi kít (…),,Without thinking (about…) /…without thinking.,
อีกไม่ถึง(3 นาที),... ìik mâi-tʉ̌ng (sǎam naa-tii)...,,In less than (3 minutes)…,
บ้างก็ว่า,... bâang gɔ̂ɔ wâa...,,Some (people) say…,
อย่าตกเป็นเหยื่อ(... ),yàa dtòk-bpen-yʉ̀a(...) ,,Don’t fall victim (to…) / Don’t fall prey to… / Don’t be victimized.,
ใครจะรับผิดชอบ,krai jà ráp-pìt-chɔ̂ɔp ,,Who will be responsible? / Who would be responsible? / Who would take responsibility?,
ดียังไง,dii yang-ngai,,How is it good? / What’s good about it?,
เคยได้ยินที่ไหน,kəəi dâi-yin tîi-nǎi,,Where have (I) heard that before?,
รู้สึกกดดันไหม,rúu-sʉ̀k gòt-dan mǎi,,Do (you) feel pressure/pressured?,
เขาช้าตลอด,kǎo cháa dtà-lɔ̀ɔt,,She’s always late/slow!,
ไม่ใช่ประเด็น,mâi-châi bprà-den,,(That)’s not the issue/point.,
กล้าดียังไง,glâa-dii yang-ngai,,How dare you! / You’ve got a lot of nerve!,
