thai,phonetic,register,definition,note
ฉันอิจฉาคุณ,chǎn ìt-chǎa kun,,I envy you. / I’m jealous!,
คิดว่าดีไหม,kít-wâa dii mǎi,,Do you think that’s a good idea? / Does that sound good?,
ยังไม่(ได้)จ่ายเงิน,yang mâi(dâi) jàai ngən (,,I) haven’t paid yet. / (You) didn’t pay yet.,
จะอธิบายยังไงดี,jà à-tí-baai yang-ngai dii ,,How can (I) explain?,
…จริงไหม,...jing mǎi,,"…, right? / …, isn’t it? / …, aren’t they? (etc.)",
ใช่คนนี้หรือเปล่า,châi kon-níi rʉ̌ʉ-bplàao ,,Is this the person?,
ฉันจะบอกให้ทุกคนรู้(ว่า... ),chǎn jà bɔ̀ɔk hâi túk kon rúu (wâa...) ,,I’m gonna tell everyone! (…),
ต้องการอะไรจากผม,dtɔ̂ng-gaan à-rai jàak pǒm ,STRONG,What do (you) want from me?!,
ผมทำไม่สำเร็จ,pǒm tam mâi-sǎm-rèt,,I didn’t make it. / I wasn’t successful. / I couldn’t do it.,
มาหาฉันหน่อยได้ไหม,maa-hǎa chǎn nɔ̀i dâi-mǎi ,,Can you come and see me? / Can you come and visit me?,
น่าปวดหัว,nâa-bpùat-hǔa,,It gives me a headache! / It’s really hard!,
ตอบไม่ได้จริงๆ,dtɔ̀ɔp mâi-dâi jing-jing (,,I) really can’t answer. / (I) really can’t say.,
(มัน)เป็นเรื่องของฉัน,(man) bpen rʉ̂ang kɔ̌ɔng chǎn ,,"It’s my business. / That’s my business. (used when someone asks you something too personal, etc.)",
มีผู้ช่วยด้วย,mii pûu-chûai dûai,,I have a helper. / I have someone to help me. / I have an assistant., Adding ด้วย (dûai) here gives the meaning that the person normal y doesn’t have a helper.
เคยเห็นในหนัง,... kəəi hěn nai nǎng...,,(I) (once) saw it in a movie(…),
ต้องขับรถกลับ(บ้าน),dtɔ̂ng kàp-rót glàp(bâan) (,,I) have to drive home/back.,
รักที่สุดในโลก,rák tîi-sùt nai lôok,,I love you more than anything in this world! / I love you so much!,
เอาใหม่,ao mài,INFORMAL,Try it again. / Once more.," Be careful to say ใหม่ (mài) with a fal ing tone. Otherwise, it might sound like you are asking if someone wants something."
ไม่ค่อยมีเงิน,mâi-kɔ̂i mii ngən,,I don’t have much money. / I’m short on cash.,
ฉันเขินนะ,chan kə̌ən ná,,I’m shy. / I’m embarrassed. (blushing),
