thai,phonetic,register,definition,note
ใช่ใช่ใช่,châi châi châi,,"Yes! Yes! Yes! / Yeah, yeah, yeah.",
ไม่ไม่ไม่,mâi mâi mâi,,"No! No! No! / No, no, no.",
เอาไหม(ครับ/คะ),ao mǎi (kráp/ká) ,,Do you want one? / Do you want some? / Want some?,
ยังไม่แน่ใจ,yang mâi-nɛ̂ɛ-jai,,(I)’m not sure yet.,
ได้โปรด,dâi-bpròot,FORMAL,Please! / Please…,
ผมมีนัดกับ(คุณ... ),pǒm mii nát gàp (kun...) ,,I have an appointment with…,
เป็นผมเอง,bpen pǒm eeng,,That’s me. / That was me.,
ไม่อยากรู้,mâi-yàak rúu,,(I) don’t wanna know.,
ผมชอบกิน(มะม่วง),pǒm chɔ̂ɔp gin (má-mûang) ,,I like (mangoes).,
ชอบกิน(มะม่วง)เรือ,chɔ̂ɔp gin (má-mûang) rə̌ə,,Do you like (mangoes)?,
ชอบกินมาก,chɔ̂ɔp gin maâk,,I love them. / I love it.,
ผมไม่ชอบกิน(มะม่วง),pǒm mâi chɔ̂ɔp gin (má-mûang) ,,I don’t like (mangoes).,
น่ากิน(จังเลย),nâa-gin (jang ləəi) ,,Looks good! / Looks delicious! / Yum!,
(ฉัน)ไม่อยากไป,(chǎn) mâi-yàak bpai (,,I) don’t wanna go.,
ปวดหัว,bpùat-hǔa,,I have a headache.,
ยังไม่ตาย,yang mâi dtaai,,You’re still alive. / You’re not dead yet!,
นี่(ครับ/ค่ะ),nîi (kráp/kà) ,,Here you are. / Here you go. (handing something to someone),
เยี่ยม,yîam,,Great! / Excellent!,
ตลกดี(นะ),dtà-lòk dii (ná) ,,That’s funny! / He’s funny.,
เดี๋ยวๆ(ๆ),dǐao-dǐao,,"Wait, wait. / Whoa—wait a second.",
