thai,phonetic,register,definition,note
โทษที่ไม่ได้บอก,tôot tîi mâi-dâi bɔ̀ɔk ,INFORMAL,Sorry I didn’t tell you.,
ยกเลิก(ไป)แล้ว,yók-lə̂ək (bpai) lɛ́ɛo (,,It) was cancelled. / (It) was called off.,
เขาขยันทำงาน,kǎo kà-yǎn tam-ngaan,,He’s very hard-working. / He works very hard.,
ต้องทำโอที,dtɔ̂ng tam-oo-tii (,INFORMAL,I) have to work overtime. / (I) had to work overtime., More formally overtime is ทำงานนอกเวลา (tam-ngaan nɔ̂ɔk-wee-laa).
พูดแบบนี้ได้ยังไง,pûut bɛ̀ɛp-níi dâi yang-ngai ,,How can you say that? / How can you talk that way?,
(10) กว่าปี,(sìp) gwàa bpii,,For over (10) years. / More than (10) years.,
เจอ(ได้)บ่อย,jəə (dai) bɔ̀i (,,It)’s common. / You come across (it) a lot.,
ฉันไม่ได้คิดไปเอง,chǎn mâi-dâi kít bpai eeng ,,I wasn’t just imagining. / I wasn’t just my imagination. / It wasn’t all in my head.,
หนูคิดถึงคุณพ่อคุณแม่(มาก),nǔu kít-tʉ̌ng kun-pɔ̂ɔ kun-mɛ̂ɛ (mâak) ,,I (really) miss my parents! / I (really) miss my mother and father!,
หูจะแตก,hǔu jà dtɛ̀ɛk,,My eardrums are gonna burst! / I’m gonna go deaf!,
คุณซื้ออะไรให้เขา,kun sʉ́ʉ à-rai hâi kǎo ,,What did you get him?,
ผมเป็นคนต่างจังหวัด,pǒm bpen kon dtàang-jang-wàt ,,I’m from another province. / I’m from a rural province. / I’m a country boy.,
พอกินได้,pɔɔ-gin-dâi,,"It’s edible. / I can eat it. (I don’t like it so much, but that’s okay.)",
…ไม่เท่ากัน,...mâi tâo-gan,,They’re not equal. / It’s unequal.,
งานแรกที่ทำคือ(ล้างจาน),ngaan rɛ̂ɛk tîi tam kʉʉ (láang-jaan) ,,My first job was (washing dishes). / I first worked as (a dishwasher).,
เขาไม่มีการศึกษา,kǎo mâi mii gaan-sʉ̀k-sǎa ,,He’s uneducated. / He didn’t have an education.,
โง่สุดๆ,ngôo sùt-sùt,,So stupid! / You’re an idiot! / You’re really dumb!,
ฉันไม่ได้แต่งหน้า(เลย),chǎn mâi-dâi dtɛ̀ng-nâa (ləəi) ,,I’m not wearing any makeup. / I didn’t put on any makeup.,
พูดใหม่สิ,pûut mài sì ,INFORMAL,Say again. / Come again.,
เชื่อ(ผม)หรือยัง,chʉ̂a (pǒm) rʉ̌ʉ-yang ,,Now do you believe me? / Do you believe me now?,
