thai,phonetic,register,definition,note
ปัดโธ่(เว้ย),bpàt-tôo(wóoi) ,,Damn it! / Goddamn it!,
(ฉัน)ไม่รู้ว่าคุณพูด(ถึง)เรื่องอะไร,(chǎn)mâi-rúu-wâa kun pûut(-tʉ̌ng) rʉ̂ang à-rai,,(I) don’t know what you’re talking about.,
ไม่เคยมีใครถามฉันมาก่อน,mâi kəəi mii krai tǎam chǎn maa-gɔ̀ɔn ,,No one’s ever asked me that before.,
อย่างที่เคยพูด/บอก,... yàang-tîi kəəi pûut/bɔ̀ɔk...,,As I said… / Like I told you…,
หลายต่อหลายครั้ง,lǎai-dtɔ̀ɔ-lǎai-kráng,,time and time again / on numerous occasions / many many times,
ครั้งแล้วครั้งเล่า,kráng-lɛ́ɛo-kráng-lâo over and over again / time after time,,,
นี่คือสาเหตุที่,...  nîi kʉʉ sǎa-hèet tîi...,SEMI-FORMAL/LITERARY,That’s the reason… / That’s why…,
เอาไว้ทำอะไร,ao wái tam à-rai,,What is that for? / What’s it for? (asking about purpose or function),
อยากรู้ใช่ไหมว่า(เอาไว้ทำอะไร),yàak rúu châi-mǎi wâa (ao wái tam à-rai),,"You wanna know (what it’s for)? / Do you want to know (what it’s for)? / You wanna know (what it’s for), don’t you?",
(คุณ)ช่วยอธิบาย(หน่อย)ได้ไหมว่า,... (kun) chûai à-tí-baai (nɔ̀i) dâi-mǎi wâa...,,Do you mind explaining/telling me…?,
เธอขึ้นปก,(hailand) təə kʉ̂n-bpòk (,VOGUE T,VOGUE Thailand) She was on the cover of (VOGUE Thailand).,
อย่าปล่อยให้ตัวเอง,... yàa bplɔ̀i hâi dtua-eeng...,,Don’t let yourself…,
ไม่มีอะไรแน่นอน,mâi mii à-rai nɛ̂ɛ-nɔɔn ,,There are no certainties. / Nothing is certain.,
ในทางกลับกัน,nai-taang-glàp-gan ,SEMI-FORMAL,On the other hand…,
เป็นเทรนด์มาแรง,bpen treen maa-rɛɛng ,,It’s a hot trend. / It’s very trendy.,
มีอะไรให้ทำเยอะ(เลย),mii à-rai hâi tam yə́ (ləəi) ,,There’s plenty to do. / There’s a lot to do.,
ซึ่งหมายถึง,...  sʉ̂ng mǎai-tʉ̌ng...,SEMI-FORMAL,Which means…,
มันเป็นข้อเท็จจริง,man bpen kɔ̂ɔ-tét-jing ,FORMAL,It’s a fact. / It’s true.,
ความจริง(ก็)คือ,... kwaam-jing (gɔ̂ɔ) kʉʉ...,,The truth is…,
ห้ามพลาดเด็ดขาด,hâam plâat dèt-kàat,,By all means don’t miss it! / It’s not to be missed!,
