thai,phonetic,register,definition,note
หิวหรือยัง,hǐu rʉ̌ʉ yang,,Are you hungry (yet)?,
ไม่ได้กินอะไร(มา)ตั้งแต่เช้า,(mâi dâi gin à-rai (maa) dtâng-dtɛ̀ɛ cháao) ,,I haven’t eaten anything since this morning.,
นี่อะไร(ครับ/คะ),(nîi à-rai; nîi à-rai kráp; nîi à-rai kà) ,,What’s this?,
ฝีมือผมเอง/ทำเอง,fǐi-mʉʉ pǒm eeng / tam-eeng,,I made it myself.,
ระวังนะ มันร้อน,rá-wang ná man rɔ́ɔn,,Be careful—it’s hot.,
เก่งนี่,gèng nîi,,"Wow, you’re very good at that! / Great job! / Wow, you’re very good at that! //Brilliant!",
เรื่องมาก(จัง),rʉ̂ang mâak; rʉ̂ang mâak jang,,You’re so fussy/high-maintenance/demanding!,
ใช่แล้ว,châi lɛ́ɛo,,That’s right!,
รู้ได้ยังไง,rúu dâi yang-ngai,,How do you know?,
ตกลงครับ,dtòk-long kráp,,"Okay, (I agree). / Agreed. / Alright.",
รู้ไหม,rúu-mǎi,,Do/Did you know…?,
(ผม)ลืมไป,pǒm lʉʉm bpai; lʉʉm bpai,,I forgot.,
เดี๋ยวนะคะ,dǐao ná-ká,,Wait. / Wait a second. / Hold on.,
เจอแล้ว,jəə lɛ́ɛo,,I found it/him/her.,
ยังไม่ง่วง,yang mâi ngûang,,I’m not sleepy yet.,
มาแล้ว,maa lɛ́ɛo,,It’s here. / She’s here. / Here he comes (He’s here.),
อีกแล้วเหรอ,iìk lɛ́ɛo rə̌ə,,Again?! / Not again! / Him again?! / Another… ?!,
แล้วคุณล่ะ,lɛ́ɛo kun lâ,,What about you? / And you?,
หึงหรือ,hʉ̌ng rʉ̌ʉ,,Are you jealous?,
เกือบไปแล้ว,gʉ̀ap bpai lɛ́ɛo,,That was close! / Close one! / Close call!,
