thai,phonetic,register,definition,note
ผมเอาใจช่วยนะ,pǒm ao-jai-chûai ná,,I hope you are successful. / I wish you success.,
มีอะไรไม่สบายใจหรือเปล่า,mii à-rai mâi sà-baai-jai rʉ̌ʉ-bplàao ,,Is something wrong? / Is something bothering you?,
จะกลับตอนไหน,jà glàp dtɔɔn-nǎi,,When will (you) be back? / What time will (you) be back?,
ไม่กล้าทำ,mâi glâa tam,,I didn’t dare. / You wouldn’t dare!,
มาหาใคร(ครับ),maa-hǎa krai (kráp) ,,Who are you here to see? / Who are you here for? / Who are you looking for?,
แกโกหกฉัน,gɛɛ goo-hòk chǎn,,You’re lying (to me).,
เสียงดังเกินไป(แล้ว),sǐang-dang gəən-bpai (lɛ́ɛo) ,,You’re being too loud. / It was too loud. / She’s too noisy!,
อาการดีขึ้น(แล้ว),aa-gaan dii-kʉ̂n (lɛ́ɛo) (,,He)’s feeling better. (His) condition has improved. / (He)’s getting better.,
กินอะไรหรือยัง,gin à-rai rʉ̌ʉ-yang,,Have you eaten (anything) yet? / Did you eat yet?,
เขาไม่ได้สติ,kǎo mâi-dâi sà-dtì,,He’s unconscious.,
แย่แล้ว,yɛ̂ɛ lɛ́ɛo,,"Oh, shit! / Oh, no!",
ใครเป็นคนขโมย(ไป),krai bpen kon kà-mooi (bpai) ,,Who stole it?,
ต้องเข้มแข็ง,dtɔ̂ng kêm-kɛ̌ng,,Be strong! / Stay strong! (emotionally),
ผมไม่รู้จักใครเลย,pǒm mâi-rúu-jàk krai ləəi ,,I don’t know anyone (here).,
ยังปวดหัวอยู่หรือเปล่า,yang bpùat-hǔa yùu rʉ̌ʉ-bplàao ,,Do you still have a headache?,
ฉันไม่ไว้ใจใคร,chǎn mâi-wái-jai krai,,I don’t trust anyone.,
ผมไม่มีทางเลือก,pǒm mâi-mii-taang lʉ̂ak,,I have no choice. / I had no choice.,
อย่าทำให้(ผม)ผิดหวัง,yàa tam-hâi (pǒm) pìt-wǎng ,,Don’t disappoint me. / Don’t let me down.,
อย่ายุ่ง,yàa yûng,STRONG,Don’t interfere! / Leave me alone! / Don’t mess with (me)!,
เดี๋ยวก็หาย,dǐao gɔ̂ɔ hǎai,,It’ll be better soon. / It’ll heal soon. / It’ll soon pass.,
